subject,metric_sim,value
sub-00,Pearson R,0.5093224913675667
sub-01,Pearson R,0.3029059889274074
sub-02,Pearson R,0.6477387572320601
sub-03,Pearson R,0.4854640092777492
sub-04,Pearson R,0.5829362760959153
sub-05,Pearson R,0.4101521313972618
sub-06,Pearson R,0.42089178639312325
sub-07,Pearson R,0.5835248801303465
sub-08,Pearson R,0.32055811157434433
sub-09,Pearson R,0.7003547118142371
sub-10,Pearson R,0.13669186584897858
sub-11,Pearson R,0.5586656959563291
sub-12,Pearson R,0.576812270754169
sub-13,Pearson R,0.5760273031184198
sub-14,Pearson R,0.5402198928402158
sub-15,Pearson R,0.48923067525222574
sub-16,Pearson R,0.6151029238238968
sub-17,Pearson R,0.2902916828594524
sub-18,Pearson R,0.40267278792223815
sub-19,Pearson R,0.1852783395526775
sub-20,Pearson R,0.29208570249641336
sub-21,Pearson R,0.5477676279032403
sub-22,Pearson R,0.6130212416293764
sub-23,Pearson R,0.42664045741652773
sub-24,Pearson R,0.5129220101245218
sub-25,Pearson R,0.7142058012122479
sub-26,Pearson R,0.365104954050728
sub-27,Pearson R,0.4988287346848898
sub-28,Pearson R,0.735101182093632
sub-29,Pearson R,0.6790507698530861
sub-00,MSE,0.11645040626238606
sub-01,MSE,0.08381742138987978
sub-02,MSE,0.09440101070154577
sub-03,MSE,0.08853737283657022
sub-04,MSE,0.09914032567049808
sub-05,MSE,0.058447450125511974
sub-06,MSE,0.07929073358435726
sub-07,MSE,0.10182776786893909
sub-08,MSE,0.174946161976483
sub-09,MSE,0.03356990685691637
sub-10,MSE,0.040496680539040826
sub-11,MSE,0.033212280354075835
sub-12,MSE,0.0589184502576298
sub-13,MSE,0.10956962610648699
sub-14,MSE,0.07570394041485003
sub-15,MSE,0.057491825208085615
sub-16,MSE,0.10245330459770115
sub-17,MSE,0.12372993460166468
sub-18,MSE,0.09085934403487911
sub-19,MSE,0.015493707887435596
sub-20,MSE,0.058816843374289864
sub-21,MSE,0.08491474270048883
sub-22,MSE,0.0550048305588585
sub-23,MSE,0.042537158145065396
sub-24,MSE,0.10681889120095125
sub-25,MSE,0.11625371581450653
sub-26,MSE,0.13267051459902232
sub-27,MSE,0.1158946855595191
sub-28,MSE,0.07494223972783723
sub-29,MSE,0.15433899788611438
