score,benchmark,occluder_type,metric,visibility
0.4378596547314578,ImageNet-1K,,accuracy,
0.0018326208740472,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0047199292480945,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.01319464918226,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.0313988797366619,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.0646952387690544,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.1149086087942123,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.1782200765609741,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.2357783019542694,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.2923396968841553,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.00169921875,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0030011792480945,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0067592865601181,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.0198677034676075,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.035564195215702,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.057479363232851,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.0866597878932952,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.13734190762043,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.2191597878932953,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0019221698120236,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0030745135620236,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0055369251221418,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0087791126221418,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.0179031544923782,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.0347630454599857,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.0682222878932952,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.1173529630899429,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.1858258402347564,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0018764740601181,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0024071344360709,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0048452240601181,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0082631928101181,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0154178950563073,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.0205627211183309,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.0300350088626146,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.0509994104504585,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.1376621460914611,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0014453125,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0034341833740472,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0106880159676074,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.0296395932137966,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.0558645342290401,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.100516656935215,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.1554127359390258,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.2139088296890259,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.2609916716814041,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0008284198120236,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0015591833740472,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0028287146240472,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0051381928101181,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0111405513063073,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.0271443838626146,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.0506644310057163,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.0801050266623497,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.1359522405266761,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.00123046875,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0015787146240472,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0018635760620236,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0018049823120236,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.0027424823120236,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.0052292158082127,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.015036851465702,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.0359610849618911,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.0527981279790401,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0013052771240472,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.00130859375,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0015005896240472,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0022232458740472,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.0034146521240472,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.0073256928101181,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.0128187647461891,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.0167622347176075,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
