subject,metric_sim,value
sub-00,Pearson R,0.5201056207546297
sub-01,Pearson R,0.3305790822658191
sub-02,Pearson R,0.6509322039283184
sub-03,Pearson R,0.4608098752087784
sub-04,Pearson R,0.560472907556561
sub-05,Pearson R,0.3752793409879108
sub-06,Pearson R,0.39910469600402404
sub-07,Pearson R,0.6507208439614512
sub-08,Pearson R,0.3373673780623154
sub-09,Pearson R,0.6873537430586046
sub-10,Pearson R,0.1203990265886791
sub-11,Pearson R,0.600668398369331
sub-12,Pearson R,0.563020301470838
sub-13,Pearson R,0.5985467010433528
sub-14,Pearson R,0.5105403642981236
sub-15,Pearson R,0.5409447102857812
sub-16,Pearson R,0.5705540348861701
sub-17,Pearson R,0.29361105708340574
sub-18,Pearson R,0.38105159721005677
sub-19,Pearson R,0.16649335275879731
sub-20,Pearson R,0.27665577500188926
sub-21,Pearson R,0.47437575844829805
sub-22,Pearson R,0.6232013259356871
sub-23,Pearson R,0.4754798344289464
sub-24,Pearson R,0.5125057382680674
sub-25,Pearson R,0.7077180871964105
sub-26,Pearson R,0.45322314263853836
sub-27,Pearson R,0.48992158077142334
sub-28,Pearson R,0.7018578623380476
sub-29,Pearson R,0.6746505971818195
sub-00,MSE,0.1235488092878848
sub-01,MSE,0.0887116858237548
sub-02,MSE,0.10122815926806712
sub-03,MSE,0.0947193321442727
sub-04,MSE,0.1060872886114414
sub-05,MSE,0.06328944543532831
sub-06,MSE,0.08489657649623465
sub-07,MSE,0.10741672446822564
sub-08,MSE,0.18250693618707886
sub-09,MSE,0.03724567314044128
sub-10,MSE,0.04305113786497557
sub-11,MSE,0.03600876106486986
sub-12,MSE,0.06391543631919673
sub-13,MSE,0.11655288016911085
sub-14,MSE,0.08193494847403886
sub-15,MSE,0.06118584026952042
sub-16,MSE,0.1098353068437046
sub-17,MSE,0.13038177929713307
sub-18,MSE,0.09733848592944908
sub-19,MSE,0.016087660192892064
sub-20,MSE,0.06298400548289074
sub-21,MSE,0.09194200852160127
sub-22,MSE,0.059281320187607345
sub-23,MSE,0.04535560344827587
sub-24,MSE,0.11323048784515789
sub-25,MSE,0.12384256506804069
sub-26,MSE,0.13827540791385917
sub-27,MSE,0.12316797958779231
sub-28,MSE,0.08141911084687542
sub-29,MSE,0.16327701810014533
