subject,metric_sim,value
sub-00,Pearson R,0.5264469554263524
sub-01,Pearson R,0.4290496869949909
sub-02,Pearson R,0.659032960022516
sub-03,Pearson R,0.6588327297363398
sub-04,Pearson R,0.7013764248753424
sub-05,Pearson R,0.5457115759960786
sub-06,Pearson R,0.47435859762199445
sub-07,Pearson R,0.501816473605364
sub-08,Pearson R,0.3216506439477451
sub-09,Pearson R,0.7295691531976808
sub-10,Pearson R,0.204701735878071
sub-11,Pearson R,0.573192847431941
sub-12,Pearson R,0.6887544396429705
sub-13,Pearson R,0.5466171495345291
sub-14,Pearson R,0.6412031928890458
sub-15,Pearson R,0.5485368404354466
sub-16,Pearson R,0.6121909448893404
sub-17,Pearson R,0.2950321560577265
sub-18,Pearson R,0.42650388728236144
sub-19,Pearson R,0.16234908455908614
sub-20,Pearson R,0.323253519612459
sub-21,Pearson R,0.6792942433442187
sub-22,Pearson R,0.6238024043284577
sub-23,Pearson R,0.5982024437989706
sub-24,Pearson R,0.6648763418751154
sub-25,Pearson R,0.6307383568432379
sub-26,Pearson R,0.30449540048023643
sub-27,Pearson R,0.507722548389149
sub-28,Pearson R,0.7263569731737718
sub-29,Pearson R,0.8152921123510655
sub-00,MSE,0.0641458168186022
sub-01,MSE,0.04269384165675783
sub-02,MSE,0.04730797496366759
sub-03,MSE,0.04210348130532435
sub-04,MSE,0.04915423933148368
sub-05,MSE,0.02633294523715154
sub-06,MSE,0.03988489232395297
sub-07,MSE,0.05530407748711851
sub-08,MSE,0.10939217532038578
sub-09,MSE,0.01241416468489893
sub-10,MSE,0.02289771601268331
sub-11,MSE,0.014776679548156958
sub-12,MSE,0.0242953577090765
sub-13,MSE,0.05974352622539306
sub-14,MSE,0.03454646419606289
sub-15,MSE,0.02654821475756375
sub-16,MSE,0.053466689787290266
sub-17,MSE,0.07184337428986658
sub-18,MSE,0.047996019949795216
sub-19,MSE,0.019578420200819135
sub-20,MSE,0.02958259017043203
sub-21,MSE,0.03942404875148633
sub-22,MSE,0.023944460959175587
sub-23,MSE,0.017459002179944512
sub-24,MSE,0.05458824646584754
sub-25,MSE,0.06393599715946624
sub-26,MSE,0.07907529891663362
sub-27,MSE,0.06409990586603251
sub-28,MSE,0.03436265523847273
sub-29,MSE,0.08671724303078344
