benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.6148897058823529,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0032527014347059,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0173205411327736,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0594341878836252,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1499277262055144,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2593113749611134,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3615435933580204,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4265833326748439,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4706403272492545,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5161397919362906,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0018775419959304,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0070359880408766,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0313609302880204,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0898441260262411,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1537625293950645,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2389156210179231,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3187658689459975,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.389663855032045,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4496098264139526,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0017662356816688,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0030135432714406,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0065460146347783,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0203589026873209,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0480170178474212,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0959577006953103,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1488714443177593,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2318431573862932,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3003852853969652,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0014590152102161,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0021125637755102,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.003332420822461,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0049907345020649,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0091767544306966,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0207334334144786,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0431293168542336,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0823647928785304,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.178157414100608,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0014116348204564,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.0055047741387875,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.0303727107084527,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.0935518296093356,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.166231093053915,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.2454277924737151,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.3185504005879772,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.3659958456243787,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.443116832752617,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0010803481183794,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0014631515939016,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.0029578901143098,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.0069081361918729,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.0197452138349109,0.5
ImageNet-Occluded,oblique_bars_04,accuracy,0.0536146725775027,0.6
ImageNet-Occluded,oblique_bars_04,accuracy,0.1086443642876586,0.7
ImageNet-Occluded,oblique_bars_04,accuracy,0.182352458944126,0.8
ImageNet-Occluded,oblique_bars_04,accuracy,0.2520358525976843,0.9
ImageNet-Occluded,oblique_bars_08,accuracy,0.0011160714285714,0.1
ImageNet-Occluded,oblique_bars_08,accuracy,0.0012597167408283,0.2
ImageNet-Occluded,oblique_bars_08,accuracy,0.0016184539857263,0.3
ImageNet-Occluded,oblique_bars_08,accuracy,0.0030376095020649,0.4
ImageNet-Occluded,oblique_bars_08,accuracy,0.005186648659256,0.5
ImageNet-Occluded,oblique_bars_08,accuracy,0.0093959827470232,0.6
ImageNet-Occluded,oblique_bars_08,accuracy,0.0192221493593284,0.7
ImageNet-Occluded,oblique_bars_08,accuracy,0.0504582360843006,0.8
ImageNet-Occluded,oblique_bars_08,accuracy,0.1491530945106428,0.9
ImageNet-Occluded,oblique_bars_16,accuracy,0.001020558577563,0.1
ImageNet-Occluded,oblique_bars_16,accuracy,0.0014349489795918,0.2
ImageNet-Occluded,oblique_bars_16,accuracy,0.0018177524551141,0.3
ImageNet-Occluded,oblique_bars_16,accuracy,0.0020569106183794,0.4
ImageNet-Occluded,oblique_bars_16,accuracy,0.0027785214918608,0.5
ImageNet-Occluded,oblique_bars_16,accuracy,0.0051035449593042,0.6
ImageNet-Occluded,oblique_bars_16,accuracy,0.0143634030899527,0.7
ImageNet-Occluded,oblique_bars_16,accuracy,0.0402676917004342,0.8
ImageNet-Occluded,oblique_bars_16,accuracy,0.0956527364193176,0.9
ImageNet-Occluded,vertical_bars_02,accuracy,0.00253522694491,0.1
ImageNet-Occluded,vertical_bars_02,accuracy,0.0166030666429777,0.2
ImageNet-Occluded,vertical_bars_02,accuracy,0.0571456397978627,0.3
ImageNet-Occluded,vertical_bars_02,accuracy,0.1412808049698265,0.4
ImageNet-Occluded,vertical_bars_02,accuracy,0.2492625956632653,0.5
ImageNet-Occluded,vertical_bars_02,accuracy,0.3605042324990642,0.6
ImageNet-Occluded,vertical_bars_02,accuracy,0.4201207975951992,0.7
ImageNet-Occluded,vertical_bars_02,accuracy,0.4653318433129058,0.8
ImageNet-Occluded,vertical_bars_02,accuracy,0.509139150989299,0.9
ImageNet-Occluded,vertical_bars_04,accuracy,0.0014748086734693,0.1
ImageNet-Occluded,vertical_bars_04,accuracy,0.0059515035388116,0.2
ImageNet-Occluded,vertical_bars_04,accuracy,0.0283748375594007,0.3
ImageNet-Occluded,vertical_bars_04,accuracy,0.0798487438231098,0.4
ImageNet-Occluded,vertical_bars_04,accuracy,0.1481945815743232,0.5
ImageNet-Occluded,vertical_bars_04,accuracy,0.2249707445806386,0.6
ImageNet-Occluded,vertical_bars_04,accuracy,0.2994933304738025,0.7
ImageNet-Occluded,vertical_bars_04,accuracy,0.3590215274265834,0.8
ImageNet-Occluded,vertical_bars_04,accuracy,0.4024749860471608,0.9
ImageNet-Occluded,vertical_bars_08,accuracy,0.0013593659755222,0.1
ImageNet-Occluded,vertical_bars_08,accuracy,0.002105043079628,0.2
ImageNet-Occluded,vertical_bars_08,accuracy,0.0040265811531215,0.3
ImageNet-Occluded,vertical_bars_08,accuracy,0.0114006245204684,0.4
ImageNet-Occluded,vertical_bars_08,accuracy,0.0320674997507309,0.5
ImageNet-Occluded,vertical_bars_08,accuracy,0.0716383989368166,0.6
ImageNet-Occluded,vertical_bars_08,accuracy,0.1094080912215369,0.7
ImageNet-Occluded,vertical_bars_08,accuracy,0.1700956030767791,0.8
ImageNet-Occluded,vertical_bars_08,accuracy,0.2357734736739372,0.9
ImageNet-Occluded,vertical_bars_16,accuracy,0.0016425202163506,0.1
ImageNet-Occluded,vertical_bars_16,accuracy,0.0016225903694118,0.2
ImageNet-Occluded,vertical_bars_16,accuracy,0.0021606962367588,0.3
ImageNet-Occluded,vertical_bars_16,accuracy,0.0024995036347179,0.4
ImageNet-Occluded,vertical_bars_16,accuracy,0.0035798517530974,0.5
ImageNet-Occluded,vertical_bars_16,accuracy,0.0104522646347783,0.6
ImageNet-Occluded,vertical_bars_16,accuracy,0.028658743871718,0.7
ImageNet-Occluded,vertical_bars_16,accuracy,0.067921294393588,0.8
ImageNet-Occluded,vertical_bars_16,accuracy,0.1536719050942635,0.9
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0024280570143339,0.1
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0031895275816929,0.2
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.004165338010204,0.3
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0056608286021011,0.4
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0082408036960631,0.5
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0126170972552226,0.6
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0324668487419887,0.7
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0664393410694842,0.8
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1253869399732473,0.9
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0010604182714406,0.1
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0012679895081994,0.2
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0016940369897959,0.3
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0014789450571549,0.4
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0022246221612606,0.5
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0039461096938775,0.6
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0092049570450065,0.7
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0339849014975586,0.8
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0658647598964827,0.9
ImageNet-Occluded,curved_lines,accuracy,0.001343572512269,0.1
ImageNet-Occluded,curved_lines,accuracy,0.0018816783796159,0.2
ImageNet-Occluded,curved_lines,accuracy,0.0034918595979712,0.3
ImageNet-Occluded,curved_lines,accuracy,0.0072277658143822,0.4
ImageNet-Occluded,curved_lines,accuracy,0.0143750601695204,0.5
ImageNet-Occluded,curved_lines,accuracy,0.0444213726690837,0.6
ImageNet-Occluded,curved_lines,accuracy,0.0809681994878516,0.7
ImageNet-Occluded,curved_lines,accuracy,0.199236047511198,0.8
ImageNet-Occluded,curved_lines,accuracy,0.377259217354716,0.9
ImageNet-Occluded,empty_ellipses,accuracy,0.0012555803571428,0.1
ImageNet-Occluded,empty_ellipses,accuracy,0.0018218888387996,0.2
ImageNet-Occluded,empty_ellipses,accuracy,0.0033929624347662,0.3
ImageNet-Occluded,empty_ellipses,accuracy,0.0059597763061827,0.4
ImageNet-Occluded,empty_ellipses,accuracy,0.0107312824919211,0.5
ImageNet-Occluded,empty_ellipses,accuracy,0.022911427276475,0.6
ImageNet-Occluded,empty_ellipses,accuracy,0.0620732004849278,0.7
ImageNet-Occluded,empty_ellipses,accuracy,0.1506361757614174,0.8
ImageNet-Occluded,empty_ellipses,accuracy,0.3529068243746854,0.9
ImageNet-Occluded,filled_ellipses,accuracy,0.0018775419959304,0.1
ImageNet-Occluded,filled_ellipses,accuracy,0.0053336782837096,0.2
ImageNet-Occluded,filled_ellipses,accuracy,0.0152354279000844,0.3
ImageNet-Occluded,filled_ellipses,accuracy,0.0261667609518888,0.4
ImageNet-Occluded,filled_ellipses,accuracy,0.0481990187295845,0.5
ImageNet-Occluded,filled_ellipses,accuracy,0.1004757593785013,0.6
ImageNet-Occluded,filled_ellipses,accuracy,0.1734720200908427,0.7
ImageNet-Occluded,filled_ellipses,accuracy,0.2927788526427989,0.8
ImageNet-Occluded,filled_ellipses,accuracy,0.4458648951686158,0.9
ImageNet-Occluded,mud_splash,accuracy,0.0019215380734935,0.1
ImageNet-Occluded,mud_splash,accuracy,0.004425178091897,0.2
ImageNet-Occluded,mud_splash,accuracy,0.0063068564715129,0.3
