subject,metric_sim,value
sub-00,Pearson R,0.5008144814350813
sub-01,Pearson R,0.3588887570760807
sub-02,Pearson R,0.615747778113068
sub-03,Pearson R,0.4912281073398999
sub-04,Pearson R,0.601780382076197
sub-05,Pearson R,0.44254049582072974
sub-06,Pearson R,0.4264322188797764
sub-07,Pearson R,0.5577350052794902
sub-08,Pearson R,0.22248151852766537
sub-09,Pearson R,0.700942367019133
sub-10,Pearson R,0.06838134905767049
sub-11,Pearson R,0.5454738073910379
sub-12,Pearson R,0.6284972611925459
sub-13,Pearson R,0.49040271412895414
sub-14,Pearson R,0.6022733167275444
sub-15,Pearson R,0.49939107936714233
sub-16,Pearson R,0.5662369490061736
sub-17,Pearson R,0.2631534097201655
sub-18,Pearson R,0.36320544655083165
sub-19,Pearson R,0.1460818827052052
sub-20,Pearson R,0.2751794960223177
sub-21,Pearson R,0.5440094171456091
sub-22,Pearson R,0.6464152166146874
sub-23,Pearson R,0.45466238579006635
sub-24,Pearson R,0.5953627591656122
sub-25,Pearson R,0.6147270462044452
sub-26,Pearson R,0.2525490731548345
sub-27,Pearson R,0.4937690475354048
sub-28,Pearson R,0.7022922894058948
sub-29,Pearson R,0.7544521852951633
sub-00,MSE,0.09298660655304532
sub-01,MSE,0.06490632018760736
sub-02,MSE,0.07395317247985203
sub-03,MSE,0.06891341326463206
sub-04,MSE,0.07736020280089839
sub-05,MSE,0.043861680869335444
sub-06,MSE,0.061427244351961945
sub-07,MSE,0.08025581318536133
sub-08,MSE,0.14814861606553043
sub-09,MSE,0.022630259941868142
sub-10,MSE,0.03313428953626635
sub-11,MSE,0.023595752411150746
sub-12,MSE,0.042503757101334395
sub-13,MSE,0.08823213931827191
sub-14,MSE,0.056472866296736694
sub-15,MSE,0.0428502361606553
sub-16,MSE,0.08128777744748317
sub-17,MSE,0.10080715748447615
sub-18,MSE,0.07237997919143875
sub-19,MSE,0.015356264037521467
sub-20,MSE,0.04511217631126965
sub-21,MSE,0.06546567413132515
sub-22,MSE,0.0395433676839741
sub-23,MSE,0.03104984145858106
sub-24,MSE,0.08351433478662967
sub-25,MSE,0.09338448771304003
sub-26,MSE,0.1107968770643414
sub-27,MSE,0.092793177764566
sub-28,MSE,0.056695526159334125
sub-29,MSE,0.12447813449597042
