score,benchmark,occluder_type,metric,visibility
0.6008431905370843,ImageNet-1K,,accuracy,
0.0029221668041178,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0092530895062551,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0269955417179331,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.0607510619625753,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.1169043458542045,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.1859481042745162,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.2725650990495876,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.356100112807994,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.4473498567026489,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0015985241387875,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0042890534755222,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0096832733715371,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.0281172536921744,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.0589475988277367,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.1095524886432959,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.1745741780923337,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.2530891262755102,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.3598551969138943,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0016383838326651,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0025991528694118,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.005796201146987,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0144581638694721,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.0284951687315288,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.0531720795801707,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.0946066073921262,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.1630863136782938,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.2554498728440732,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0013277790490157,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0019538770714888,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0032053210449462,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0051385161980074,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0109862341184397,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.0261750336812467,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.0515769397725864,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.0969767550728759,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.1949229279951173,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.001782029144922,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0060319749980556,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0229580555947459,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.0668860704314951,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.1265188048080522,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.1978368220888838,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.2756444483387227,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.3367350697517395,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.4109180964985672,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0012198570469508,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0015387345979712,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0040705772306846,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0095080411327736,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0225237353267718,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.0574569966720075,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.10401650350921,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.157382993065581,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.2133279537059823,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0006776147959183,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0010006287306243,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0016782435265426,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0030857419633135,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.0058883296857987,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.0119319617634221,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.0225320080941428,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.0544701518909055,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.1479621918833985,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0011202078122569,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0012157206632653,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0013352997448979,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
