subject,metric_sim,value
sub-00,Pearson R,0.36133975721080414
sub-01,Pearson R,0.2595230458252242
sub-02,Pearson R,0.5244236766140606
sub-03,Pearson R,0.4504628923533674
sub-04,Pearson R,0.495774714549545
sub-05,Pearson R,0.35986720808776895
sub-06,Pearson R,0.4279699506689014
sub-07,Pearson R,0.5131462899368902
sub-08,Pearson R,0.15642858158474846
sub-09,Pearson R,0.6308309804184535
sub-10,Pearson R,-0.0715778234860961
sub-11,Pearson R,0.5403197394290297
sub-12,Pearson R,0.6101207199466213
sub-13,Pearson R,0.42184628432248905
sub-14,Pearson R,0.5242000967394582
sub-15,Pearson R,0.518662922947726
sub-16,Pearson R,0.4369890732692324
sub-17,Pearson R,0.11909507173924294
sub-18,Pearson R,0.2521431014029307
sub-19,Pearson R,0.1689493589236589
sub-20,Pearson R,0.065134581109588
sub-21,Pearson R,0.517737011275433
sub-22,Pearson R,0.5523603105738365
sub-23,Pearson R,0.4327516714927779
sub-24,Pearson R,0.6107283135821776
sub-25,Pearson R,0.5014220849020175
sub-26,Pearson R,0.3237600008259487
sub-27,Pearson R,0.3360426796558216
sub-28,Pearson R,0.6670303171146319
sub-29,Pearson R,0.7069633674595266
sub-00,MSE,0.10278471396485664
sub-01,MSE,0.07032269784647907
sub-02,MSE,0.08295390738538777
sub-03,MSE,0.07495503864447087
sub-04,MSE,0.08618484938565202
sub-05,MSE,0.04821426212181266
sub-06,MSE,0.0660667277711719
sub-07,MSE,0.08884235863390144
sub-08,MSE,0.1584579782666138
sub-09,MSE,0.026183817214955735
sub-10,MSE,0.0343007662835249
sub-11,MSE,0.025785936054961024
sub-12,MSE,0.04760057471264368
sub-13,MSE,0.0963356288809618
sub-14,MSE,0.06394739232395295
sub-15,MSE,0.04629260800634166
sub-16,MSE,0.09044333795745804
sub-17,MSE,0.10897121482362267
sub-18,MSE,0.07923119797859692
sub-19,MSE,0.0114736920332937
sub-20,MSE,0.04955835480248381
sub-21,MSE,0.07228229455674463
sub-22,MSE,0.0451299709340732
sub-23,MSE,0.03298957920465055
sub-24,MSE,0.09057929548156957
sub-25,MSE,0.10366717862333202
sub-26,MSE,0.11680373893513013
sub-27,MSE,0.1026200620953891
sub-28,MSE,0.0637344348659004
sub-29,MSE,0.13585426575505352
