subject,metric_sim,value
sub-00,Pearson R,0.4966454276555314
sub-01,Pearson R,0.4167679005999976
sub-02,Pearson R,0.6294474060233438
sub-03,Pearson R,0.5437389158507021
sub-04,Pearson R,0.6504049337248938
sub-05,Pearson R,0.5273069100872766
sub-06,Pearson R,0.4209380927813407
sub-07,Pearson R,0.46719911141852866
sub-08,Pearson R,0.25196611586849527
sub-09,Pearson R,0.7479121455584424
sub-10,Pearson R,0.09978944199127669
sub-11,Pearson R,0.578365278561425
sub-12,Pearson R,0.6426346585818317
sub-13,Pearson R,0.4948109179722615
sub-14,Pearson R,0.6550718717244665
sub-15,Pearson R,0.5627421058235416
sub-16,Pearson R,0.5802045423033774
sub-17,Pearson R,0.21034645877739241
sub-18,Pearson R,0.41808037082390137
sub-19,Pearson R,0.17669580694057643
sub-20,Pearson R,0.3297415069810235
sub-21,Pearson R,0.6290707787956861
sub-22,Pearson R,0.6050886454675412
sub-23,Pearson R,0.49648229198693394
sub-24,Pearson R,0.6705245724127652
sub-25,Pearson R,0.5657992950915796
sub-26,Pearson R,0.23194856215761672
sub-27,Pearson R,0.4494605019329422
sub-28,Pearson R,0.7301529704536308
sub-29,Pearson R,0.7476783317900839
sub-00,MSE,0.054934725525168454
sub-01,MSE,0.035996457590170436
sub-02,MSE,0.04001973510371251
sub-03,MSE,0.037299222156163304
sub-04,MSE,0.04207590170432025
sub-05,MSE,0.021714146518694678
sub-06,MSE,0.0341647261857577
sub-07,MSE,0.047685336570220636
sub-08,MSE,0.09831690117584885
sub-09,MSE,0.009262204386312591
sub-10,MSE,0.022891729422644995
sub-11,MSE,0.012448680472981897
sub-12,MSE,0.020501511097899328
sub-13,MSE,0.05174193255383802
sub-14,MSE,0.027632241709604963
sub-15,MSE,0.020952817413132513
sub-16,MSE,0.04555113786497556
sub-17,MSE,0.06365417327255912
sub-18,MSE,0.04075542508917954
sub-19,MSE,0.02115446228035408
sub-20,MSE,0.024660580988241507
sub-21,MSE,0.03359979852028008
sub-22,MSE,0.01977403719117453
sub-23,MSE,0.016111978134495972
sub-24,MSE,0.04566261230017176
sub-25,MSE,0.05529342548553309
sub-26,MSE,0.07157637237415776
sub-27,MSE,0.0561135470339543
sub-28,MSE,0.027718489892984546
sub-29,MSE,0.07630127824019026
