score,benchmark,occluder_type,metric,visibility
0.5237571930946292,ImageNet-1K,,accuracy,
0.0040058992346938,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0194629191002827,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0571986607142857,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1121642295347184,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.1838945957775018,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.2572402286590362,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.3178516386114821,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.3593427325998033,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.4125696597050647,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0015146683673469,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0036481110312576,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.013575072894443,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.0410251154051143,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.0813953929713794,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.1367073615594786,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.1993022655345955,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.273119571561716,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.347838465656553,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0013751594387755,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0016342474489795,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0036073022959183,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0095872054190127,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.0212072552257806,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.0479777848766166,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.0901664236978608,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
