subject,metric_sim,value
sub-00,Pearson R,0.4128724595885436
sub-01,Pearson R,0.3622728608201489
sub-02,Pearson R,0.5631101566980664
sub-03,Pearson R,0.552556022793489
sub-04,Pearson R,0.6117857115965023
sub-05,Pearson R,0.5302437387277474
sub-06,Pearson R,0.4479944478810108
sub-07,Pearson R,0.5032957168454647
sub-08,Pearson R,0.1709649154342878
sub-09,Pearson R,0.6824084580061016
sub-10,Pearson R,0.04121045971348846
sub-11,Pearson R,0.6149931928491854
sub-12,Pearson R,0.5783039873792356
sub-13,Pearson R,0.490091014742848
sub-14,Pearson R,0.5458938457474196
sub-15,Pearson R,0.5393136374448698
sub-16,Pearson R,0.5344420919159947
sub-17,Pearson R,0.1859903553312383
sub-18,Pearson R,0.31402057998033606
sub-19,Pearson R,0.14202949628542724
sub-20,Pearson R,0.236336128510438
sub-21,Pearson R,0.5817003504137274
sub-22,Pearson R,0.5977506891272105
sub-23,Pearson R,0.5563909936927406
sub-24,Pearson R,0.6374779057898325
sub-25,Pearson R,0.537722637349763
sub-26,Pearson R,0.2010322667848055
sub-27,Pearson R,0.41097523685990406
sub-28,Pearson R,0.6398476673129281
sub-29,Pearson R,0.793682545165679
sub-00,MSE,0.053551864513145725
sub-01,MSE,0.03541187739463602
sub-02,MSE,0.03876085843572466
sub-03,MSE,0.034489323226317876
sub-04,MSE,0.03969542707094729
sub-05,MSE,0.02122737481833796
sub-06,MSE,0.032190596512088776
sub-07,MSE,0.04391622076892589
sub-08,MSE,0.09519764004492007
sub-09,MSE,0.011378278174131326
sub-10,MSE,0.02634615702206368
sub-11,MSE,0.012526671290791387
sub-12,MSE,0.020874207292905275
sub-13,MSE,0.04837490916897873
sub-14,MSE,0.0285213948341921
sub-15,MSE,0.021081095587263843
sub-16,MSE,0.04358712346413001
sub-17,MSE,0.060864463601532574
sub-18,MSE,0.04111482692561766
sub-19,MSE,0.026505524177566395
sub-20,MSE,0.026304333465451184
sub-21,MSE,0.03258026159334126
sub-22,MSE,0.019164602325274144
sub-23,MSE,0.015549114810410889
sub-24,MSE,0.04292711223411284
sub-25,MSE,0.05217024210595852
sub-26,MSE,0.06873678821508786
sub-27,MSE,0.05339811236623068
sub-28,MSE,0.02765969745012551
sub-29,MSE,0.06937446327123793
