benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.6132912404092071,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0024618106176696,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0147993349166092,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0563198493755593,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1323341836734693,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.218475727402434,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2980432686757068,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3752818651953522,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4383968431122449,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4910268236179741,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0021230032197104,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0073142538265306,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0273285653556183,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0823529746611507,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1612799137222523,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2511787080034918,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3294194909382839,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3932434022426605,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4491561134250796,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0019929846938775,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0033586537299145,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.007765997030145,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0183269178247725,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0415822020826899,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0752551020408163,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1348975416348905,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2326278168023849,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3676544278860092,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.001773756377551,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0020328443877551,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0038464604591836,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0072449738829757,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.015679095301549,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0383042167796164,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0850710262145314,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1956142948902383,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.3325399358053597,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0013153698979591,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.005412377008446,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.0231727177505286,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.075044415092894,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.1423427629835751,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.2263575073103515,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.3074027044432504,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.356219441002729,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.4000167031677402,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0011360012755102,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0024817404646084,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.0057711142533439,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.0130065977288296,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.0316134824474551,0.5
ImageNet-Occluded,oblique_bars_04,accuracy,0.0789838814917875,0.6
ImageNet-Occluded,oblique_bars_04,accuracy,0.1434759172249813,0.7
ImageNet-Occluded,oblique_bars_04,accuracy,0.2028735042834768,0.8
ImageNet-Occluded,oblique_bars_04,accuracy,0.2574385781677402,0.9
ImageNet-Occluded,oblique_bars_08,accuracy,0.0009167729591836,0.1
ImageNet-Occluded,oblique_bars_08,accuracy,0.0016940369897959,0.2
ImageNet-Occluded,oblique_bars_08,accuracy,0.0022027226074655,0.3
ImageNet-Occluded,oblique_bars_08,accuracy,0.0040267781230944,0.4
ImageNet-Occluded,oblique_bars_08,accuracy,0.0081816766890982,0.5
ImageNet-Occluded,oblique_bars_08,accuracy,0.0194942374352593,0.6
ImageNet-Occluded,oblique_bars_08,accuracy,0.0373437879797147,0.7
ImageNet-Occluded,oblique_bars_08,accuracy,0.0635534347776247,0.8
ImageNet-Occluded,oblique_bars_08,accuracy,0.1277028668899925,0.9
ImageNet-Occluded,oblique_bars_16,accuracy,0.0013058794952206,0.1
ImageNet-Occluded,oblique_bars_16,accuracy,0.0013352997448979,0.2
ImageNet-Occluded,oblique_bars_16,accuracy,0.0016646167401186,0.3
ImageNet-Occluded,oblique_bars_16,accuracy,0.0019929846938775,0.4
ImageNet-Occluded,oblique_bars_16,accuracy,0.0028907768475842,0.5
ImageNet-Occluded,oblique_bars_16,accuracy,0.0052614795918367,0.6
ImageNet-Occluded,oblique_bars_16,accuracy,0.0143229166730021,0.7
ImageNet-Occluded,oblique_bars_16,accuracy,0.0392855244821735,0.8
ImageNet-Occluded,oblique_bars_16,accuracy,0.1021974079919104,0.9
ImageNet-Occluded,vertical_bars_02,accuracy,0.0021827927605267,0.1
ImageNet-Occluded,vertical_bars_02,accuracy,0.011581139154352,0.2
ImageNet-Occluded,vertical_bars_02,accuracy,0.0489562454500368,0.3
ImageNet-Occluded,vertical_bars_02,accuracy,0.1174342505329725,0.4
ImageNet-Occluded,vertical_bars_02,accuracy,0.2054378113576344,0.5
ImageNet-Occluded,vertical_bars_02,accuracy,0.2955767129148756,0.6
ImageNet-Occluded,vertical_bars_02,accuracy,0.3607587008451929,0.7
ImageNet-Occluded,vertical_bars_02,accuracy,0.4123808005634619,0.8
ImageNet-Occluded,vertical_bars_02,accuracy,0.4606907495430538,0.9
ImageNet-Occluded,vertical_bars_04,accuracy,0.0019142143475842,0.1
ImageNet-Occluded,vertical_bars_04,accuracy,0.003936619291139,0.2
ImageNet-Occluded,vertical_bars_04,accuracy,0.0165227921537066,0.3
ImageNet-Occluded,vertical_bars_04,accuracy,0.0521668489186131,0.4
ImageNet-Occluded,vertical_bars_04,accuracy,0.1040356990938284,0.5
ImageNet-Occluded,vertical_bars_04,accuracy,0.1758865934549545,0.6
ImageNet-Occluded,vertical_bars_04,accuracy,0.2582765808519052,0.7
ImageNet-Occluded,vertical_bars_04,accuracy,0.3193454280191538,0.8
