subject,metric_sim,value
sub-00,Pearson R,0.4145042316287361
sub-01,Pearson R,0.33984146657975994
sub-02,Pearson R,0.5333997408421467
sub-03,Pearson R,0.4673382898047815
sub-04,Pearson R,0.5444573689213574
sub-05,Pearson R,0.44465774307039224
sub-06,Pearson R,0.29004816644033615
sub-07,Pearson R,0.4957792334522146
sub-08,Pearson R,0.16690719914836022
sub-09,Pearson R,0.7216959947024123
sub-10,Pearson R,-0.029409887746807164
sub-11,Pearson R,0.6002748824365256
sub-12,Pearson R,0.4979073254018199
sub-13,Pearson R,0.461488592629087
sub-14,Pearson R,0.5434909011629261
sub-15,Pearson R,0.5363250046886888
sub-16,Pearson R,0.5249609533232248
sub-17,Pearson R,0.1535846625547104
sub-18,Pearson R,0.3733545214538785
sub-19,Pearson R,0.16103819550467496
sub-20,Pearson R,0.2929796330477662
sub-21,Pearson R,0.4662058961849849
sub-22,Pearson R,0.5144003365926527
sub-23,Pearson R,0.4409341383017085
sub-24,Pearson R,0.5947636390460918
sub-25,Pearson R,0.44243287052798147
sub-26,Pearson R,0.12822646504220295
sub-27,Pearson R,0.32165072788553783
sub-28,Pearson R,0.6355280458937081
sub-29,Pearson R,0.6954131103559186
sub-00,MSE,0.046917855727308756
sub-01,MSE,0.028855859426608534
sub-02,MSE,0.034176575505350776
sub-03,MSE,0.030643702933016256
sub-04,MSE,0.03555221132249967
sub-05,MSE,0.01712598262650284
sub-06,MSE,0.028779726516052317
sub-07,MSE,0.03816777315365306
sub-08,MSE,0.08728101466508124
sub-09,MSE,0.006404990751750562
sub-10,MSE,0.02022963733650416
sub-11,MSE,0.008569370128154312
sub-12,MSE,0.01766931728101467
sub-13,MSE,0.0427186963271238
sub-14,MSE,0.02382146749900911
sub-15,MSE,0.01556823061170564
sub-16,MSE,0.03774862927731537
sub-17,MSE,0.05326190712115206
sub-18,MSE,0.03327738968159598
sub-19,MSE,0.02006535704848725
sub-20,MSE,0.01845339542872242
sub-21,MSE,0.029973576430175716
sub-22,MSE,0.015662736160655305
sub-23,MSE,0.012190637798916635
sub-24,MSE,0.038263765028405346
sub-25,MSE,0.04808565365305853
sub-26,MSE,0.0635155733914652
sub-27,MSE,0.048569122407187214
sub-28,MSE,0.02275139549478134
sub-29,MSE,0.06604344200026423
