benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.6183463874680307,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0020727040816326,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0117092595972614,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0432136024215391,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1075604348918613,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.191238269970125,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2799754389086548,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3581554831898942,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4279099474756085,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4917167759671503,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0016143176020408,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0045259733380255,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0133340166435025,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0430465713143348,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1006561665206539,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1821483615405705,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2732818573713302,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3618852116015492,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4519899478372262,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0017338966836734,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0031489158163265,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0072459229268133,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0175022017780919,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0362391050296778,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0722751154051143,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1470443087877059,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2530739416881483,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3867681002130314,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0020328443877551,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0032286352040816,0.2
