subject,metric_sim,value
sub-00,Pearson R,0.5570568835586363
sub-01,Pearson R,0.458165983597373
sub-02,Pearson R,0.6852884391349947
sub-03,Pearson R,0.6314598455423911
sub-04,Pearson R,0.7090177307909884
sub-05,Pearson R,0.581386018455696
sub-06,Pearson R,0.4997849106633057
sub-07,Pearson R,0.4954606191604596
sub-08,Pearson R,0.30984221832236364
sub-09,Pearson R,0.694224818561302
sub-10,Pearson R,0.1767909003800399
sub-11,Pearson R,0.6042076044176296
sub-12,Pearson R,0.6963936392825597
sub-13,Pearson R,0.5315720859392693
sub-14,Pearson R,0.6901529939504951
sub-15,Pearson R,0.6245940868023838
sub-16,Pearson R,0.592838374261087
sub-17,Pearson R,0.2525694157407418
sub-18,Pearson R,0.4572185588727122
sub-19,Pearson R,0.1779591064746385
sub-20,Pearson R,0.35189887061077607
sub-21,Pearson R,0.6307270105461058
sub-22,Pearson R,0.6206286185273828
sub-23,Pearson R,0.6077051336112451
sub-24,Pearson R,0.7644751914809831
sub-25,Pearson R,0.5879689309960541
sub-26,Pearson R,0.32132951459114845
sub-27,Pearson R,0.5161043585560103
sub-28,Pearson R,0.7229348970367685
sub-29,Pearson R,0.7695254235893122
sub-00,MSE,0.0583169424626767
sub-01,MSE,0.03929919738406659
sub-02,MSE,0.04215219976218788
sub-03,MSE,0.03921563284449729
sub-04,MSE,0.044617477539965644
sub-05,MSE,0.02381110450521865
sub-06,MSE,0.03642187706434139
sub-07,MSE,0.05121812656889946
sub-08,MSE,0.10230562161448012
sub-09,MSE,0.012452891729422644
sub-10,MSE,0.024014111837759283
sub-11,MSE,0.013736705641432156
sub-12,MSE,0.02216702173338618
sub-13,MSE,0.05516077090764962
sub-14,MSE,0.03016019289205971
sub-15,MSE,0.022772038908706566
sub-16,MSE,0.04933280486193685
sub-17,MSE,0.0677138657682653
sub-18,MSE,0.04376597800237812
sub-19,MSE,0.022708209472849787
sub-20,MSE,0.02801546604571277
sub-21,MSE,0.036854191438763374
sub-22,MSE,0.022239686550402964
sub-23,MSE,0.0166458993922579
sub-24,MSE,0.04795811864182851
sub-25,MSE,0.059642910225921525
sub-26,MSE,0.07342271931562955
sub-27,MSE,0.058815068040692316
sub-28,MSE,0.03117172017439556
sub-29,MSE,0.08050906658739594
