benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.7117167519181585,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0101881377560523,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.090210459214084,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1751434948979592,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2713448660714285,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3741350446124466,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4796755420310156,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5520448024783816,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5853675065600142,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.6185945473155197,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0021723533163265,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0192442602116842,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0911431760356134,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2114198023111236,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3011320152757119,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3799186862853108,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4498963647959184,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.5043367346634671,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.5600326848881585,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0015146683673469,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0026506696428571,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0065569196428571,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0200972576549618,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0482262436262503,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1067442602040816,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2121851084639831,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3484893176628619,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4827208227040816,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0011360012755102,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0012954400510204,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0021324936224489,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0039341517876149,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0078523596938775,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.025753348215236,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0807198660866338,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2126913265306122,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.3589006697340887,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0014349489795918,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.0068160076530612,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.0641501913303319,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.1775789222090828,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.292546237305719,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.3999162947340887,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.4813376912961201,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.5025589923773494,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.5730947067542952,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0012954400510204,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0018734056122448,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.0050821109693877,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.0189213966855741,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.0507055165968379,0.5
