subject,metric_sim,value
sub-00,Pearson R,0.5328188696578814
sub-01,Pearson R,0.4099152202007585
sub-02,Pearson R,0.6693541104378645
sub-03,Pearson R,0.5423797331889807
sub-04,Pearson R,0.6431407740010298
sub-05,Pearson R,0.521215887877654
sub-06,Pearson R,0.4520108150811357
sub-07,Pearson R,0.5173288234242112
sub-08,Pearson R,0.29344761751553283
sub-09,Pearson R,0.7505268685120613
sub-10,Pearson R,0.11761768797545587
sub-11,Pearson R,0.6010513389166493
sub-12,Pearson R,0.6940010551041325
sub-13,Pearson R,0.506039108776064
sub-14,Pearson R,0.6828495412508278
sub-15,Pearson R,0.5915639193749361
sub-16,Pearson R,0.6022320514537189
sub-17,Pearson R,0.2537204829672601
sub-18,Pearson R,0.43755100573731925
sub-19,Pearson R,0.13033382190146636
sub-20,Pearson R,0.2971843753160967
sub-21,Pearson R,0.6113088691936523
sub-22,Pearson R,0.6354998660402154
sub-23,Pearson R,0.5473296959419383
sub-24,Pearson R,0.7193425700565548
sub-25,Pearson R,0.5912187994119303
sub-26,Pearson R,0.31328372285216616
sub-27,Pearson R,0.48964589338548575
sub-28,Pearson R,0.7519317219431287
sub-29,Pearson R,0.7260921844987172
sub-00,MSE,0.06379186484344035
sub-01,MSE,0.042496573193288416
sub-02,MSE,0.04739314968952305
sub-03,MSE,0.04450265887171358
sub-04,MSE,0.05050316257101334
sub-05,MSE,0.02606020445237152
sub-06,MSE,0.039738571806051
sub-07,MSE,0.05484228431761132
sub-08,MSE,0.10979596049676311
sub-09,MSE,0.010909920398995904
sub-10,MSE,0.023049692826000792
sub-11,MSE,0.013067817743427135
sub-12,MSE,0.024142348725062757
sub-13,MSE,0.060479587792310746
sub-14,MSE,0.033653388822829956
sub-15,MSE,0.024754260800634167
sub-16,MSE,0.05398731668648434
sub-17,MSE,0.07186376998282469
sub-18,MSE,0.04736858402695203
sub-19,MSE,0.017636287818734313
sub-20,MSE,0.028922826661381948
sub-21,MSE,0.04132865140705509
sub-22,MSE,0.023188292707094733
sub-23,MSE,0.017426468159598363
sub-24,MSE,0.05410044259479456
sub-25,MSE,0.06473522757299512
sub-26,MSE,0.0789415295943982
sub-27,MSE,0.06462486788215088
sub-28,MSE,0.034010230875941336
sub-29,MSE,0.08966693915973048
