score,benchmark,occluder_type,metric,visibility
0.7003876278772379,ImageNet-1K,,accuracy,
0.0031489158163265,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0178132971976788,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0663663903061224,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1480588329081632,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2440768494745906,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3377551021320479,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4283681441934741,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.49842155618327,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5774792730808258,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0020727040816326,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0046037946428571,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0104073660723789,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.0326132015325129,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.0790896045842341,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.1539620535866338,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.2648437499847947,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.3738958864491813,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5014070473155197,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0012794961744197,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0016143176020408,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0032884247448979,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0082708864795918,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.0127391581642156,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.0260602678647454,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.0799386160714285,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.2367785395104057,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.4163783483055173,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0012157206632653,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0014748086734693,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0023357780621748,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0041454081632653,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0127152423469387,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.0473692602078829,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.1017697704005606,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.2008330676020408,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.3093391263059207,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0016940369897959,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0072584502560523,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0566884566345537,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1649792729591837,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2750000000304105,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3729033801628619,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.4437818876942809,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.4772281569181656,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.546811224550617,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.001415019132653,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0016342474489795,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0046835140306122,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0159080038274809,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0436543367365945,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.0954520089209687,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.1545400191478583,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.2530333227192869,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.3758888711430588,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0012157206632653,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0013950892857142,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0019730548469387,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0026905293367346,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.0048628826530612,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.0142976721957782,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.0498286033172768,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.132274394132653,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.2792091836430588,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0013950892857142,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0014349489795918,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0016741071428571,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.001953125,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.0034518494907462,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.0066406250009503,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.0259925063785013,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.1040856186300516,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.2346500318725498,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0021524234693877,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0163424744897959,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.076355229607042,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.1710339604819915,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.2663225446428571,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.3600685587342904,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.4317841199891908,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.4947743941934741,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.5478834503767441,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0014229910733292,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.00390625,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.0116191007653061,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.0386080994907462,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.0867147640306122,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.1610291773187262,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
0.2514628507957167,ImageNet-Occluded,vertical_bars_04,accuracy,0.7
0.3135164221938775,ImageNet-Occluded,vertical_bars_04,accuracy,0.8
0.3832509566326531,ImageNet-Occluded,vertical_bars_04,accuracy,0.9
0.0015146683673469,ImageNet-Occluded,vertical_bars_08,accuracy,0.1
0.0016940369897959,ImageNet-Occluded,vertical_bars_08,accuracy,0.2
0.0021723533163265,ImageNet-Occluded,vertical_bars_08,accuracy,0.3
0.0045679209193176,ImageNet-Occluded,vertical_bars_08,accuracy,0.4
0.0066804846948278,ImageNet-Occluded,vertical_bars_08,accuracy,0.5
0.0200573979610843,ImageNet-Occluded,vertical_bars_08,accuracy,0.6
0.067159598218087,ImageNet-Occluded,vertical_bars_08,accuracy,0.7
0.1523796237472977,ImageNet-Occluded,vertical_bars_08,accuracy,0.8
0.3155931123361296,ImageNet-Occluded,vertical_bars_08,accuracy,0.9
0.0014588647968686,ImageNet-Occluded,vertical_bars_16,accuracy,0.1
0.0018734056122448,ImageNet-Occluded,vertical_bars_16,accuracy,0.2
0.0020129145408163,ImageNet-Occluded,vertical_bars_16,accuracy,0.3
0.0032485650510204,ImageNet-Occluded,vertical_bars_16,accuracy,0.4
0.0070551658163265,ImageNet-Occluded,vertical_bars_16,accuracy,0.5
0.03125,ImageNet-Occluded,vertical_bars_16,accuracy,0.6
0.0686503507729087,ImageNet-Occluded,vertical_bars_16,accuracy,0.7
0.1380779655764297,ImageNet-Occluded,vertical_bars_16,accuracy,0.8
0.2302694515306122,ImageNet-Occluded,vertical_bars_16,accuracy,0.9
0.0024115114795918,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1
0.0024513711734693,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2
0.0022321428571428,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.3
0.0028499681122448,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.4
0.0054209183673469,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.5
0.0161910076549618,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.6
0.0560507015230096,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.7
0.127666613543216,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.8
0.2541454081632653,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.9
0.001518654337685,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1
0.0012555803571428,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2
0.0013352997448979,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.3
0.0017139668367346,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.4
0.003188775510204,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.5
0.0105668048478891,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.6
0.0288265306141455,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.7
0.085307716829132,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.8
0.1840919961734693,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.9
0.0011559311224489,ImageNet-Occluded,curved_lines,accuracy,0.1
0.0016741071428571,ImageNet-Occluded,curved_lines,accuracy,0.2
0.0028140943887054,ImageNet-Occluded,curved_lines,accuracy,0.3
0.0082429847014801,ImageNet-Occluded,curved_lines,accuracy,0.4
0.0209781568953577,ImageNet-Occluded,curved_lines,accuracy,0.5
0.0628547512793115,ImageNet-Occluded,curved_lines,accuracy,0.6
0.1221659757691074,ImageNet-Occluded,curved_lines,accuracy,0.7
0.2611168686072437,ImageNet-Occluded,curved_lines,accuracy,0.8
0.4653539540512221,ImageNet-Occluded,curved_lines,accuracy,0.9
0.0013950892857142,ImageNet-Occluded,empty_ellipses,accuracy,0.1
0.0019331951530612,ImageNet-Occluded,empty_ellipses,accuracy,0.2
0.0034917091846237,ImageNet-Occluded,empty_ellipses,accuracy,0.3
0.0080117984693877,ImageNet-Occluded,empty_ellipses,accuracy,0.4
0.0150908801029911,ImageNet-Occluded,empty_ellipses,accuracy,0.5
0.0328284438785013,ImageNet-Occluded,empty_ellipses,accuracy,0.6
0.0798708545994393,ImageNet-Occluded,empty_ellipses,accuracy,0.7
0.1990553252398967,ImageNet-Occluded,empty_ellipses,accuracy,0.8
0.4367067921830683,ImageNet-Occluded,empty_ellipses,accuracy,0.9
0.0018335459183673,ImageNet-Occluded,filled_ellipses,accuracy,0.1
0.0068000637764605,ImageNet-Occluded,filled_ellipses,accuracy,0.2
0.0244100765344135,ImageNet-Occluded,filled_ellipses,accuracy,0.3
0.0444874043519399,ImageNet-Occluded,filled_ellipses,accuracy,0.4
0.0825693558673469,ImageNet-Occluded,filled_ellipses,accuracy,0.5
0.1465561224565822,ImageNet-Occluded,filled_ellipses,accuracy,0.6
0.2326849490708234,ImageNet-Occluded,filled_ellipses,accuracy,0.7
0.3639190051020408,ImageNet-Occluded,filled_ellipses,accuracy,0.8
0.523688616041018,ImageNet-Occluded,filled_ellipses,accuracy,0.9
0.001953125,ImageNet-Occluded,mud_splash,accuracy,0.1
0.0046037946428571,ImageNet-Occluded,mud_splash,accuracy,0.2
0.0086336096948278,ImageNet-Occluded,mud_splash,accuracy,0.3
0.0165058992356442,ImageNet-Occluded,mud_splash,accuracy,0.4
0.0281489158182271,ImageNet-Occluded,mud_splash,accuracy,0.5
0.0512874681046422,ImageNet-Occluded,mud_splash,accuracy,0.6
0.0983737244897959,ImageNet-Occluded,mud_splash,accuracy,0.7
0.2057876275966362,ImageNet-Occluded,mud_splash,accuracy,0.8
0.3804089604895942,ImageNet-Occluded,mud_splash,accuracy,0.9
0.0033721301029911,ImageNet-Occluded,natural,accuracy,0.1
0.0088687818877551,ImageNet-Occluded,natural,accuracy,0.2
0.0172034438785013,ImageNet-Occluded,natural,accuracy,0.3
0.0348652742365945,ImageNet-Occluded,natural,accuracy,0.4
