subject,metric_sim,value
sub-00,Pearson R,0.4832334518497399
sub-01,Pearson R,0.3100066520164105
sub-02,Pearson R,0.6005213771365693
sub-03,Pearson R,0.5187779604982796
sub-04,Pearson R,0.5977905980190921
sub-05,Pearson R,0.4057656064588061
sub-06,Pearson R,0.38057551006789453
sub-07,Pearson R,0.5796366370079062
sub-08,Pearson R,0.2631758112946029
sub-09,Pearson R,0.7178548199227487
sub-10,Pearson R,0.0027111754433009174
sub-11,Pearson R,0.6214442611632351
sub-12,Pearson R,0.6454860071337257
sub-13,Pearson R,0.5323987705694276
sub-14,Pearson R,0.6020347705860034
sub-15,Pearson R,0.5552179943083869
sub-16,Pearson R,0.5172108982118676
sub-17,Pearson R,0.1225318925522705
sub-18,Pearson R,0.44241328948475683
sub-19,Pearson R,0.1660370762794994
sub-20,Pearson R,0.2303673255018467
sub-21,Pearson R,0.5330374124451647
sub-22,Pearson R,0.5072066319857136
sub-23,Pearson R,0.4545274036068998
sub-24,Pearson R,0.6176299358399698
sub-25,Pearson R,0.5407991929391548
sub-26,Pearson R,0.3533943554582239
sub-27,Pearson R,0.3790423960368848
sub-28,Pearson R,0.7388070359670381
sub-29,Pearson R,0.7124385176235141
sub-00,MSE,0.07118835876601928
sub-01,MSE,0.04789990421455939
sub-02,MSE,0.05473828279825605
sub-03,MSE,0.04974237019421325
sub-04,MSE,0.057224286563614744
sub-05,MSE,0.030977589509842782
sub-06,MSE,0.04519363522261858
sub-07,MSE,0.05936298553309552
sub-08,MSE,0.11933020379178227
sub-09,MSE,0.01317235599154446
sub-10,MSE,0.025297595455145993
sub-11,MSE,0.013784557074910822
sub-12,MSE,0.02838989628748844
sub-13,MSE,0.06626738175452503
sub-14,MSE,0.03976718357775135
sub-15,MSE,0.02839641960628881
sub-16,MSE,0.0612211817941604
sub-17,MSE,0.08027121317214955
sub-18,MSE,0.052257192165411546
sub-19,MSE,0.014115181992337165
sub-20,MSE,0.03222701149425287
sub-21,MSE,0.0478577503633241
sub-22,MSE,0.028507976615140707
sub-23,MSE,0.020380045250363323
sub-24,MSE,0.06191632811467829
sub-25,MSE,0.0722995524507861
sub-26,MSE,0.08446265193552649
sub-27,MSE,0.07300502047826662
sub-28,MSE,0.038941777315365314
sub-29,MSE,0.09834130169110845
