score,benchmark,occluder_type,metric,visibility
0.704303868286445,ImageNet-1K,,accuracy,
0.0030492665816326,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.016346460460134,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0544563137774108,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1287747130026014,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2223692601736711,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3147122130102041,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4076809630710251,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.4846221301324513,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5749162946428571,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0018973214295217,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0042490433682972,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0096739477059822,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.0271882971948278,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.0596221301096434,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.1262117347166854,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.2259885204993948,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.3480349170918367,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.497185905673066,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0015744579081632,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0020727040816326,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0034279336734693,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0057597257653061,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.0124362244897959,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.0328762755178067,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.1059151785638259,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.2637794962038799,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.4347935268769459,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0011957908163265,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0016143176020408,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0023118622448979,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0039660395408163,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0135363520417666,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.0474131058673469,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.1097975127703073,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.2242107780612245,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.3314094388363313,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0016741071428571,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0064174107142857,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0525231186243496,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1516701211886746,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2604392538113253,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3645208865708234,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.4434669962038799,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.4788145727040816,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.5593191966110346,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0012555803571428,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0027303890306122,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0050263073989095,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0159159757729087,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0403938137793115,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.0806640625019006,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.1432198660866338,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.2512515943725498,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.3824378189687826,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0010961415816326,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0017338966836734,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0024553571438074,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0031489158163265,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.007633131377551,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.0222975127589033,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.0534797512774108,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.1256975446428571,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.2827845982142857,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0013751594387755,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0014548788265306,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0020766900519707,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0023517219387755,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.003368144132653,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.0063376913265306,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.0289700255178067,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.1159239477116842,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.258601721908365,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0021723533163265,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0221460459193176,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.0823262117575017,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.1675621811300516,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.263851243622449,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.3532126913873517,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.4268176020408163,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.4987005740404129,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
