subject,metric_sim,value
sub-00,Pearson R,0.5752994820075988
sub-01,Pearson R,0.49903083147621347
sub-02,Pearson R,0.7176705042613998
sub-03,Pearson R,0.6765792474807631
sub-04,Pearson R,0.7362329695627091
sub-05,Pearson R,0.6437585329262109
sub-06,Pearson R,0.45540618697909263
sub-07,Pearson R,0.3797114996003673
sub-08,Pearson R,0.38705992633677055
sub-09,Pearson R,0.7277591821155803
sub-10,Pearson R,0.2501422712078478
sub-11,Pearson R,0.6288785303001959
sub-12,Pearson R,0.6219133315973961
sub-13,Pearson R,0.5721710422349234
sub-14,Pearson R,0.6979701149158057
sub-15,Pearson R,0.6086526112222821
sub-16,Pearson R,0.7069925410712344
sub-17,Pearson R,0.31834625020676527
sub-18,Pearson R,0.5299404048913955
sub-19,Pearson R,0.21237094860227002
sub-20,Pearson R,0.45721342576386675
sub-21,Pearson R,0.6909571918061785
sub-22,Pearson R,0.6059492367871474
sub-23,Pearson R,0.6063132138529767
sub-24,Pearson R,0.7129254256778103
sub-25,Pearson R,0.6089957071268991
sub-26,Pearson R,0.262117189848915
sub-27,Pearson R,0.5036876739731196
sub-28,Pearson R,0.7357113896639207
sub-29,Pearson R,0.6620341139303314
sub-00,MSE,0.026882885784119435
sub-01,MSE,0.017344266085348132
sub-02,MSE,0.01655531609195402
sub-03,MSE,0.015256886642885456
sub-04,MSE,0.01772881159994715
sub-05,MSE,0.01020882877526754
sub-06,MSE,0.017496119038182063
sub-07,MSE,0.0271551724137931
sub-08,MSE,0.05617939952437575
sub-09,MSE,0.009286770048883604
sub-10,MSE,0.0204104736424891
sub-11,MSE,0.012334852688598229
sub-12,MSE,0.010979571277579602
sub-13,MSE,0.02483126073457524
sub-14,MSE,0.01161683346545118
sub-15,MSE,0.010983741247192494
sub-16,MSE,0.019320872968688077
sub-17,MSE,0.033710571079402826
sub-18,MSE,0.018941818602193156
sub-19,MSE,0.037353638195270183
sub-20,MSE,0.013663958250759676
sub-21,MSE,0.014119228101466506
sub-22,MSE,0.011046373365041617
sub-23,MSE,0.011096908442330562
sub-24,MSE,0.020610260602457395
sub-25,MSE,0.027258761064869866
sub-26,MSE,0.04191925947945568
sub-27,MSE,0.028377138657682648
sub-28,MSE,0.011460975690315761
sub-29,MSE,0.04197297364248909
