subject,metric_sim,value
sub-00,Pearson R,0.5963657082898763
sub-01,Pearson R,0.4751327309589225
sub-02,Pearson R,0.7180250493388197
sub-03,Pearson R,0.6360053545426754
sub-04,Pearson R,0.7431534495348143
sub-05,Pearson R,0.6809423321347605
sub-06,Pearson R,0.5228242082882929
sub-07,Pearson R,0.45888520650987435
sub-08,Pearson R,0.3649917832051348
sub-09,Pearson R,0.6870424509592025
sub-10,Pearson R,0.32769621691607165
sub-11,Pearson R,0.6213219921521556
sub-12,Pearson R,0.6492322595731347
sub-13,Pearson R,0.5630324403824462
sub-14,Pearson R,0.6786222530832243
sub-15,Pearson R,0.6198408088374697
sub-16,Pearson R,0.6943416729535125
sub-17,Pearson R,0.3691978299056714
sub-18,Pearson R,0.47050082034389945
sub-19,Pearson R,0.11223004570719793
sub-20,Pearson R,0.455116289221563
sub-21,Pearson R,0.6355364132507412
sub-22,Pearson R,0.657987500346352
sub-23,Pearson R,0.6997329453907808
sub-24,Pearson R,0.7403684662107415
sub-25,Pearson R,0.6309194414481117
sub-26,Pearson R,0.30617025188912284
sub-27,Pearson R,0.5802734146559767
sub-28,Pearson R,0.6876467215671015
sub-29,Pearson R,0.7207415479684168
sub-00,MSE,0.06042153851235302
sub-01,MSE,0.04027257563746863
sub-02,MSE,0.04404321905139384
sub-03,MSE,0.0408396089311666
sub-04,MSE,0.04654734773417888
sub-05,MSE,0.02234934436517374
sub-06,MSE,0.03739314968952305
sub-07,MSE,0.05467796274276655
sub-08,MSE,0.1051482197119831
sub-09,MSE,0.012394594728497825
sub-10,MSE,0.01973242006870128
sub-11,MSE,0.012809527348394766
sub-12,MSE,0.024239661778306255
sub-13,MSE,0.057531377989166334
sub-14,MSE,0.03208209472849781
sub-15,MSE,0.02364740223279165
sub-16,MSE,0.05014578378913991
sub-17,MSE,0.06781964262121815
sub-18,MSE,0.04548144569956401
sub-19,MSE,0.02062173834059982
sub-20,MSE,0.026567867287620554
sub-21,MSE,0.038785795679746334
sub-22,MSE,0.022171687144933287
sub-23,MSE,0.014828700951248518
sub-24,MSE,0.051125644074514476
sub-25,MSE,0.061373901770379186
sub-26,MSE,0.07707049312987184
sub-27,MSE,0.06022385718060509
sub-28,MSE,0.03407059221825869
sub-29,MSE,0.08620289172942264
