score,benchmark,occluder_type,metric,visibility
0.6671795076726342,ImageNet-1K,,accuracy,
0.0028205478625676,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0123090530859724,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0460237108399065,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1170052842674206,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2198432945475286,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3213896608474303,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4212192132764933,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.4990689915661909,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5679873513932131,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.001983494291139,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0057416940012908,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0201044703776739,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.0604263468816572,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.141579734579641,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.2421552325998033,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.3630705630900908,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.4548655401687232,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5380081163377178,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0021324936224489,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0057616238482296,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0179881104268133,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0525445669357265,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.1515010022083107,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.2261477693611261,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.3316582772804766,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.4356531677197437,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.5400846162620856,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0053317085768533,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0138835109941357,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.049919521398082,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0996179164064173,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.2467799062023357,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.2961005830034918,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.3848405991281782,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.4845600629947623,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.57962068793725,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0024921799088087,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0107251047821981,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0439339240214654,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1240234375,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2248143676896484,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3292600521627737,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.4197330161625025,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.474734648453946,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.5462514806766899,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0016741071428571,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0042365160390582,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0124485620145438,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0418023794357265,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.1028427553876322,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.2022461886612736,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.3054258534494711,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.4085257986978609,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.488632394951217,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.001594387755102,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0024912308673469,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0050631301639107,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0135038948655888,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.0445498512031472,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.119133032706319,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.2177136479591837,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.3174179269343006,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.4193932596518069,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0014947385204081,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0022919323979591,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0036281811843189,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0091496978278214,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.0246883351735922,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.0649361865100811,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.1497889334449962,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.2271547011879025,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.3777028668899925,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0025823387431398,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0145402469064052,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.0561917289255224,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.1379990054636585,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.2406889653327513,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.3428920674688962,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.4348161141483151,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.5094780660405451,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
