subject,metric_sim,value
sub-00,Pearson R,0.6044884385195378
sub-01,Pearson R,0.5080888367090444
sub-02,Pearson R,0.709180944056728
sub-03,Pearson R,0.6070289224456364
sub-04,Pearson R,0.7168983262252835
sub-05,Pearson R,0.65048245444768
sub-06,Pearson R,0.5031788040056935
sub-07,Pearson R,0.4439000535022374
sub-08,Pearson R,0.32347486069853953
sub-09,Pearson R,0.6782994073466355
sub-10,Pearson R,0.25927810448587213
sub-11,Pearson R,0.6305460704523969
sub-12,Pearson R,0.6293181562820261
sub-13,Pearson R,0.5232290538878012
sub-14,Pearson R,0.7073387111196127
sub-15,Pearson R,0.6531661700048891
sub-16,Pearson R,0.6781693578794644
sub-17,Pearson R,0.27334100327066896
sub-18,Pearson R,0.4504188575668058
sub-19,Pearson R,0.10795166013282838
sub-20,Pearson R,0.45862469231570413
sub-21,Pearson R,0.5732155339410617
sub-22,Pearson R,0.630570552076143
sub-23,Pearson R,0.6597982888663523
sub-24,Pearson R,0.8024549365466035
sub-25,Pearson R,0.5937873949991667
sub-26,Pearson R,0.30409767938550264
sub-27,Pearson R,0.536239509783847
sub-28,Pearson R,0.7133626156800836
sub-29,Pearson R,0.6959915023491345
sub-00,MSE,0.07150473972783725
sub-01,MSE,0.04688466111771701
sub-02,MSE,0.054130334258158275
sub-03,MSE,0.04991911910424099
sub-04,MSE,0.057046464196062886
sub-05,MSE,0.028017117518826795
sub-06,MSE,0.0445514599022328
sub-07,MSE,0.06419209935262254
sub-08,MSE,0.1205004376403752
sub-09,MSE,0.014696170233848588
sub-10,MSE,0.021434139252212974
sub-11,MSE,0.01422962907913859
sub-12,MSE,0.02981899854670366
sub-13,MSE,0.06817644338750167
sub-14,MSE,0.03907542277711718
sub-15,MSE,0.02778694345356058
sub-16,MSE,0.060333391134892334
sub-17,MSE,0.07986565266217466
sub-18,MSE,0.05364930142687277
sub-19,MSE,0.015012468622010836
sub-20,MSE,0.030283268925881887
sub-21,MSE,0.04880759512485137
sub-22,MSE,0.027578775267538644
sub-23,MSE,0.018001387237415775
sub-24,MSE,0.060641308297000936
sub-25,MSE,0.07298107411811337
sub-26,MSE,0.08789829402827323
sub-27,MSE,0.07220636808032765
sub-28,MSE,0.041179193090236495
sub-29,MSE,0.10116990355397013
