benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.670196611253197,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0020180626598465,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0097906010230179,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0365808823567522,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.098793158579208,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.192243446283938,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2927949169026616,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3865968670381609,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4701206841127342,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5556106139022066,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0014985613810741,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0043558184143222,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0149976023022666,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0501518542199488,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1221827046035805,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2086357097415363,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3219469309310474,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.421383471897496,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.525235773657289,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0019581202046035,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0048353580562659,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0128516624050448,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0428748401572637,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1252477621502431,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1889665920639891,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3002597506698745,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4045316496163683,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.5053268862349908,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0042359335038363,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0087316176470588,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0326886189258312,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0718829923349878,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1992167519105364,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2495484335343246,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.3477501598617915,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.4504555626903349,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.5489609974729436,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0024496483380722,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.0095708120204603,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.0428868286464068,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.117810901549771,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.2104539642172396,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.3104179987059834,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.4013187340305894,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.4621123721837387,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.5353660485933504,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0020700127882001,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0040561061381074,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.0134191176475352,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.0419117647063587,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.0946531330075715,0.5
ImageNet-Occluded,oblique_bars_04,accuracy,0.1805027174141706,0.6
ImageNet-Occluded,oblique_bars_04,accuracy,0.2825727301942723,0.7
ImageNet-Occluded,oblique_bars_04,accuracy,0.3943893862197466,0.8
ImageNet-Occluded,oblique_bars_04,accuracy,0.4788243286597454,0.9
ImageNet-Occluded,oblique_bars_08,accuracy,0.0015185421994884,0.1
ImageNet-Occluded,oblique_bars_08,accuracy,0.0028172953964194,0.2
ImageNet-Occluded,oblique_bars_08,accuracy,0.0054148017902813,0.3
ImageNet-Occluded,oblique_bars_08,accuracy,0.0131074168797953,0.4
ImageNet-Occluded,oblique_bars_08,accuracy,0.0325167838893735,0.5
ImageNet-Occluded,oblique_bars_08,accuracy,0.0888347186700767,0.6
ImageNet-Occluded,oblique_bars_08,accuracy,0.1961636828720722,0.7
ImageNet-Occluded,oblique_bars_08,accuracy,0.3052229859182597,0.8
ImageNet-Occluded,oblique_bars_08,accuracy,0.400307704649313,0.9
ImageNet-Occluded,oblique_bars_16,accuracy,0.0014785805626598,0.1
ImageNet-Occluded,oblique_bars_16,accuracy,0.0021379475703324,0.2
ImageNet-Occluded,oblique_bars_16,accuracy,0.0040161445012787,0.3
ImageNet-Occluded,oblique_bars_16,accuracy,0.0083919437340153,0.4
ImageNet-Occluded,oblique_bars_16,accuracy,0.0230458759609848,0.5
ImageNet-Occluded,oblique_bars_16,accuracy,0.0650895140669725,0.6
ImageNet-Occluded,oblique_bars_16,accuracy,0.1469589194373401,0.7
ImageNet-Occluded,oblique_bars_16,accuracy,0.2282648657441444,0.8
ImageNet-Occluded,oblique_bars_16,accuracy,0.3822170716264974,0.9
ImageNet-Occluded,vertical_bars_02,accuracy,0.002297794117647,0.1
ImageNet-Occluded,vertical_bars_02,accuracy,0.0117886828644501,0.2
ImageNet-Occluded,vertical_bars_02,accuracy,0.0475783248091369,0.3
ImageNet-Occluded,vertical_bars_02,accuracy,0.1174592391380568,0.4
ImageNet-Occluded,vertical_bars_02,accuracy,0.213946611260819,0.5
ImageNet-Occluded,vertical_bars_02,accuracy,0.3159287084856301,0.6
ImageNet-Occluded,vertical_bars_02,accuracy,0.4003476662861416,0.7
ImageNet-Occluded,vertical_bars_02,accuracy,0.4749160806083923,0.8
ImageNet-Occluded,vertical_bars_02,accuracy,0.5376238810741688,0.9
ImageNet-Occluded,vertical_bars_04,accuracy,0.0020380434782608,0.1
ImageNet-Occluded,vertical_bars_04,accuracy,0.0043957800511508,0.2
ImageNet-Occluded,vertical_bars_04,accuracy,0.0159566815861541,0.3
ImageNet-Occluded,vertical_bars_04,accuracy,0.0532368925850257,0.4
ImageNet-Occluded,vertical_bars_04,accuracy,0.1221587276252944,0.5
ImageNet-Occluded,vertical_bars_04,accuracy,0.2098984974424552,0.6
ImageNet-Occluded,vertical_bars_04,accuracy,0.3195092710845001,0.7
ImageNet-Occluded,vertical_bars_04,accuracy,0.3993646100049128,0.8
ImageNet-Occluded,vertical_bars_04,accuracy,0.4835158248081841,0.9
ImageNet-Occluded,vertical_bars_08,accuracy,0.0014785805626598,0.1
ImageNet-Occluded,vertical_bars_08,accuracy,0.0031090153457449,0.2
ImageNet-Occluded,vertical_bars_08,accuracy,0.0105298913043478,0.3
ImageNet-Occluded,vertical_bars_08,accuracy,0.0409007352941176,0.4
ImageNet-Occluded,vertical_bars_08,accuracy,0.1286804667671623,0.5
ImageNet-Occluded,vertical_bars_08,accuracy,0.1838515025499227,0.6
ImageNet-Occluded,vertical_bars_08,accuracy,0.2783727621483376,0.7
ImageNet-Occluded,vertical_bars_08,accuracy,0.373773177795093,0.8
ImageNet-Occluded,vertical_bars_08,accuracy,0.4839873720922738,0.9
ImageNet-Occluded,vertical_bars_16,accuracy,0.0027573529411764,0.1
ImageNet-Occluded,vertical_bars_16,accuracy,0.0056945332480818,0.2
ImageNet-Occluded,vertical_bars_16,accuracy,0.0219509271104508,0.3
ImageNet-Occluded,vertical_bars_16,accuracy,0.0524056905408954,0.4
ImageNet-Occluded,vertical_bars_16,accuracy,0.1754275895369327,0.5
ImageNet-Occluded,vertical_bars_16,accuracy,0.2265744884986706,0.6
ImageNet-Occluded,vertical_bars_16,accuracy,0.3204963235446559,0.7
ImageNet-Occluded,vertical_bars_16,accuracy,0.4309702685574436,0.8
ImageNet-Occluded,vertical_bars_16,accuracy,0.5324008951101766,0.9
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.002189897698686,0.1
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0029971227621483,0.2
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0029971227621483,0.3
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0062260230183791,0.4
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0135390025580211,0.5
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0295915920716112,0.6
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0701326726342711,0.7
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1364769821086198,0.8
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2652493606290549,0.9
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0017183503836317,0.1
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0018981777493606,0.2
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.00280930306953,0.3
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0050951086956521,0.4
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0131793478265633,0.5
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0351382672710491,0.6
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0623601342710997,0.7
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.11506553708821,0.8
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2088315217848629,0.9
ImageNet-Occluded,curved_lines,accuracy,0.0016384271099744,0.1
ImageNet-Occluded,curved_lines,accuracy,0.0029891304352589,0.2
ImageNet-Occluded,curved_lines,accuracy,0.0061540920716112,0.3
ImageNet-Occluded,curved_lines,accuracy,0.015313299234642,0.4
ImageNet-Occluded,curved_lines,accuracy,0.0386149296751412,0.5
ImageNet-Occluded,curved_lines,accuracy,0.0899856138183637,0.6
ImageNet-Occluded,curved_lines,accuracy,0.1693334399015092,0.7
ImageNet-Occluded,curved_lines,accuracy,0.3041759910409712,0.8
ImageNet-Occluded,curved_lines,accuracy,0.4732336956826622,0.9
ImageNet-Occluded,empty_ellipses,accuracy,0.0016384271099744,0.1
ImageNet-Occluded,empty_ellipses,accuracy,0.0032568734015345,0.2
ImageNet-Occluded,empty_ellipses,accuracy,0.0058144181585677,0.3
ImageNet-Occluded,empty_ellipses,accuracy,0.0156649616368286,0.4
ImageNet-Occluded,empty_ellipses,accuracy,0.0342990728976476,0.5
ImageNet-Occluded,empty_ellipses,accuracy,0.0659726662442202,0.6
ImageNet-Occluded,empty_ellipses,accuracy,0.1385350063862398,0.7
ImageNet-Occluded,empty_ellipses,accuracy,0.2610893542199488,0.8
ImageNet-Occluded,empty_ellipses,accuracy,0.4564897698514601,0.9
