subject,metric_sim,value
sub-00,Pearson R,0.2624598988168275
sub-01,Pearson R,0.4107034835634824
sub-02,Pearson R,0.5475144450144211
sub-03,Pearson R,0.4124544456445642
sub-04,Pearson R,0.42900813612843774
sub-05,Pearson R,0.6137094347974527
sub-06,Pearson R,0.3642507020141453
sub-07,Pearson R,0.35019066501573876
sub-08,Pearson R,0.31800151014038663
sub-09,Pearson R,0.448911413078586
sub-10,Pearson R,0.3085720660173938
sub-11,Pearson R,0.6301867407789269
sub-12,Pearson R,0.106896922694894
sub-13,Pearson R,0.5746785914245353
sub-14,Pearson R,0.24228204624713487
sub-15,Pearson R,0.45431405815923914
sub-16,Pearson R,0.5537784364467099
sub-17,Pearson R,0.30400587219023784
sub-18,Pearson R,0.3127488779424553
sub-19,Pearson R,0.08640712342715898
sub-20,Pearson R,0.2672758106875038
sub-21,Pearson R,0.3830250505995896
sub-22,Pearson R,0.5948361711816561
sub-23,Pearson R,0.6358853717883284
sub-24,Pearson R,0.5669094293915036
sub-25,Pearson R,0.6426232783452296
sub-26,Pearson R,0.2515863783990094
sub-27,Pearson R,0.48977477772277345
sub-28,Pearson R,0.31937001334767773
sub-29,Pearson R,0.28959201175555316
sub-00,MSE,0.013815852490421452
sub-01,MSE,0.005444989430572072
sub-02,MSE,0.008473749834852691
sub-03,MSE,0.007562425683709872
sub-04,MSE,0.008649384000528473
sub-05,MSE,0.0056319774739067244
sub-06,MSE,0.007192206698374952
sub-07,MSE,0.011339427269124056
sub-08,MSE,0.03112700653983353
sub-09,MSE,0.014792203395428721
sub-10,MSE,0.017829138591623727
sub-11,MSE,0.0154063036728762
sub-12,MSE,0.012477209671026553
sub-13,MSE,0.008473749834852688
sub-14,MSE,0.01138826958647113
sub-15,MSE,0.007344348659003832
sub-16,MSE,0.00809490190249703
sub-17,MSE,0.0131340831021271
sub-18,MSE,0.009402455740520545
sub-19,MSE,0.04670580657946889
sub-20,MSE,0.0077889252212973974
sub-21,MSE,0.009523797727572999
sub-22,MSE,0.006499950455806581
sub-23,MSE,0.009332433280486191
sub-24,MSE,0.00800456632316026
sub-25,MSE,0.009757605033690053
sub-26,MSE,0.021401811666006073
sub-27,MSE,0.011458250759677635
sub-28,MSE,0.008567512220901047
sub-29,MSE,0.023873158607477865
