benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.3657289002557545,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0023485406860709,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0073076356202363,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0248172169923782,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0511556604504585,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1042128539085388,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1924366158246994,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2718679988384246,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3141660523414611,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.33624263048172,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0027277417480945,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0107841981202363,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.05689453125,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1649060291051864,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2245124560594558,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2637632668018341,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.29174196600914,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3103113949298858,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3287168335914612,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0066387824341654,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0271086379885673,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0420725235342979,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0706183668971061,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.121098541021347,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1695142984390258,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2259739828109741,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2751665687561035,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2837363648414612,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.002421875,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0040835053101181,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0115978773683309,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0231390035152435,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0366594192385673,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.050496757030487,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.055418632030487,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.067039725780487,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1362791126966476,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0034846698120236,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.0296491745114326,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.0692548644542694,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.1191745281219482,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.1699237179756164,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.2461309695243835,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.2991642105579376,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.3243256187438965,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.3407362914085388,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0018993219360709,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0117006928101181,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.0956666421890258,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.1789180427789688,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.2258472144603729,0.5
ImageNet-Occluded,oblique_bars_04,accuracy,0.2646443843841553,0.6
ImageNet-Occluded,oblique_bars_04,accuracy,0.2910491597652435,0.7
ImageNet-Occluded,oblique_bars_04,accuracy,0.3116277277469635,0.8
ImageNet-Occluded,oblique_bars_04,accuracy,0.3262525796890259,0.9
ImageNet-Occluded,oblique_bars_08,accuracy,0.0062905365601181,0.1
ImageNet-Occluded,oblique_bars_08,accuracy,0.0261807194352149,0.2
ImageNet-Occluded,oblique_bars_08,accuracy,0.0589829009771347,0.3
ImageNet-Occluded,oblique_bars_08,accuracy,0.11601378262043,0.4
ImageNet-Occluded,oblique_bars_08,accuracy,0.1786446052789688,0.5
ImageNet-Occluded,oblique_bars_08,accuracy,0.2336254423856735,0.6
ImageNet-Occluded,oblique_bars_08,accuracy,0.2670257222652435,0.7
ImageNet-Occluded,oblique_bars_08,accuracy,0.2902951800823212,0.8
ImageNet-Occluded,oblique_bars_08,accuracy,0.2864442074298858,0.9
ImageNet-Occluded,oblique_bars_16,accuracy,0.0026919958740472,0.1
ImageNet-Occluded,oblique_bars_16,accuracy,0.0053725678101181,0.2
ImageNet-Occluded,oblique_bars_16,accuracy,0.0107484522461891,0.3
ImageNet-Occluded,oblique_bars_16,accuracy,0.021970445215702,0.4
ImageNet-Occluded,oblique_bars_16,accuracy,0.0345253537595272,0.5
ImageNet-Occluded,oblique_bars_16,accuracy,0.06796875,0.6
ImageNet-Occluded,oblique_bars_16,accuracy,0.1045883697271347,0.7
ImageNet-Occluded,oblique_bars_16,accuracy,0.1403854656219482,0.8
ImageNet-Occluded,oblique_bars_16,accuracy,0.2214523142576217,0.9
ImageNet-Occluded,vertical_bars_02,accuracy,0.0017463885620236,0.1
ImageNet-Occluded,vertical_bars_02,accuracy,0.0080269752442836,0.2
ImageNet-Occluded,vertical_bars_02,accuracy,0.0275969192385673,0.3
ImageNet-Occluded,vertical_bars_02,accuracy,0.0622055572271347,0.4
ImageNet-Occluded,vertical_bars_02,accuracy,0.121979289650917,0.5
ImageNet-Occluded,vertical_bars_02,accuracy,0.2099439859390258,0.6
ImageNet-Occluded,vertical_bars_02,accuracy,0.2824679398536682,0.7
ImageNet-Occluded,vertical_bars_02,accuracy,0.3194229066371917,0.8
ImageNet-Occluded,vertical_bars_02,accuracy,0.3388752949237823,0.9
ImageNet-Occluded,vertical_bars_04,accuracy,0.0022589917480945,0.1
ImageNet-Occluded,vertical_bars_04,accuracy,0.0059813531860709,0.2
ImageNet-Occluded,vertical_bars_04,accuracy,0.0474156102538108,0.3
ImageNet-Occluded,vertical_bars_04,accuracy,0.1679562205076217,0.4
ImageNet-Occluded,vertical_bars_04,accuracy,0.2281109964847564,0.5
ImageNet-Occluded,vertical_bars_04,accuracy,0.2676658320426941,0.6
ImageNet-Occluded,vertical_bars_04,accuracy,0.2946664953231812,0.7
ImageNet-Occluded,vertical_bars_04,accuracy,0.3120854222774505,0.8
ImageNet-Occluded,vertical_bars_04,accuracy,0.327172759771347,0.9
ImageNet-Occluded,vertical_bars_08,accuracy,0.0047785229980945,0.1
ImageNet-Occluded,vertical_bars_08,accuracy,0.01864386793226,0.2
ImageNet-Occluded,vertical_bars_08,accuracy,0.0338646079599857,0.3
ImageNet-Occluded,vertical_bars_08,accuracy,0.0629525354504585,0.4
ImageNet-Occluded,vertical_bars_08,accuracy,0.1093477299809456,0.5
ImageNet-Occluded,vertical_bars_08,accuracy,0.1677804392576217,0.6
ImageNet-Occluded,vertical_bars_08,accuracy,0.2274812060594558,0.7
ImageNet-Occluded,vertical_bars_08,accuracy,0.2649568843841552,0.8
ImageNet-Occluded,vertical_bars_08,accuracy,0.2625538033246994,0.9
ImageNet-Occluded,vertical_bars_16,accuracy,0.0020946344360709,0.1
ImageNet-Occluded,vertical_bars_16,accuracy,0.0031135760620236,0.2
ImageNet-Occluded,vertical_bars_16,accuracy,0.0072866303101181,0.3
ImageNet-Occluded,vertical_bars_16,accuracy,0.01344855543226,0.4
ImageNet-Occluded,vertical_bars_16,accuracy,0.0214873231202363,0.5
ImageNet-Occluded,vertical_bars_16,accuracy,0.0294538620114326,0.6
ImageNet-Occluded,vertical_bars_16,accuracy,0.0325445902347564,0.7
ImageNet-Occluded,vertical_bars_16,accuracy,0.0385587412118911,0.8
ImageNet-Occluded,vertical_bars_16,accuracy,0.1003526681661605,0.9
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0046303803101181,0.1
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0390061172842979,0.2
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0931246316432952,0.3
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1444380158185959,0.4
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1819350677728653,0.5
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2047925269603729,0.6
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2191026681661605,0.7
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2353283464908599,0.8
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.242856353521347,0.9
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0053692511841654,0.1
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0453534051775932,0.2
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0934087559580802,0.3
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1401363503932952,0.4
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1766321492195129,0.5
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2038863503932952,0.6
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2212068837881088,0.7
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2333792746067047,0.8
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2492301738262176,0.9
ImageNet-Occluded,curved_lines,accuracy,0.00279296875,0.1
ImageNet-Occluded,curved_lines,accuracy,0.0097394604980945,0.2
ImageNet-Occluded,curved_lines,accuracy,0.026062057763338,0.3
ImageNet-Occluded,curved_lines,accuracy,0.0542449145019054,0.4
ImageNet-Occluded,curved_lines,accuracy,0.0903198704123497,0.5
ImageNet-Occluded,curved_lines,accuracy,0.132096477150917,0.6
ImageNet-Occluded,curved_lines,accuracy,0.1802668040990829,0.7
ImageNet-Occluded,curved_lines,accuracy,0.2376518279314041,0.8
ImageNet-Occluded,curved_lines,accuracy,0.2962798500061035,0.9
ImageNet-Occluded,empty_ellipses,accuracy,0.0027115271240472,0.1
ImageNet-Occluded,empty_ellipses,accuracy,0.0092250147461891,0.2
ImageNet-Occluded,empty_ellipses,accuracy,0.0186014888063073,0.3
ImageNet-Occluded,empty_ellipses,accuracy,0.0361125442385673,0.4
ImageNet-Occluded,empty_ellipses,accuracy,0.0541443102061748,0.5
ImageNet-Occluded,empty_ellipses,accuracy,0.0737772700190544,0.6
ImageNet-Occluded,empty_ellipses,accuracy,0.1063723468780517,0.7
ImageNet-Occluded,empty_ellipses,accuracy,0.1434691923856735,0.8
ImageNet-Occluded,empty_ellipses,accuracy,0.2265400207042694,0.9
ImageNet-Occluded,filled_ellipses,accuracy,0.0023518573120236,0.1
ImageNet-Occluded,filled_ellipses,accuracy,0.0117364386841654,0.2
ImageNet-Occluded,filled_ellipses,accuracy,0.0389965359866619,0.3
ImageNet-Occluded,filled_ellipses,accuracy,0.0679359522461891,0.4
ImageNet-Occluded,filled_ellipses,accuracy,0.11787109375,0.5
ImageNet-Occluded,filled_ellipses,accuracy,0.1589523142576217,0.6
ImageNet-Occluded,filled_ellipses,accuracy,0.2029193693399429,0.7
ImageNet-Occluded,filled_ellipses,accuracy,0.2507322382926941,0.8
ImageNet-Occluded,filled_ellipses,accuracy,0.3027082109451294,0.9
ImageNet-Occluded,mud_splash,accuracy,0.0024543042480945,0.1
ImageNet-Occluded,mud_splash,accuracy,0.01161261793226,0.2
ImageNet-Occluded,mud_splash,accuracy,0.0419015330076217,0.3
ImageNet-Occluded,mud_splash,accuracy,0.0965160673856735,0.4
ImageNet-Occluded,mud_splash,accuracy,0.1447343015670776,0.5
ImageNet-Occluded,mud_splash,accuracy,0.1851846253871917,0.6
ImageNet-Occluded,mud_splash,accuracy,0.2159157580137252,0.7
ImageNet-Occluded,mud_splash,accuracy,0.2452767544984817,0.8
ImageNet-Occluded,mud_splash,accuracy,0.2751437211036682,0.9
ImageNet-Occluded,natural,accuracy,0.0022508844360709,0.1
ImageNet-Occluded,natural,accuracy,0.0058055719360709,0.2
ImageNet-Occluded,natural,accuracy,0.00991339918226,0.3
ImageNet-Occluded,natural,accuracy,0.0210668484866619,0.4
ImageNet-Occluded,natural,accuracy,0.0322453567385673,0.5
ImageNet-Occluded,natural,accuracy,0.05357421875,0.6
ImageNet-Occluded,natural,accuracy,0.0988594487309455,0.7
ImageNet-Occluded,natural,accuracy,0.162313163280487,0.8
ImageNet-Occluded,natural,accuracy,0.2150350087881088,0.9
ImageNet-Occluded,natural_silhouette,accuracy,0.0047556751221418,0.1
ImageNet-Occluded,natural_silhouette,accuracy,0.0165702388063073,0.2
ImageNet-Occluded,natural_silhouette,accuracy,0.0558560582995414,0.3
ImageNet-Occluded,natural_silhouette,accuracy,0.0866892689466476,0.4
ImageNet-Occluded,natural_silhouette,accuracy,0.1213196492195129,0.5
ImageNet-Occluded,natural_silhouette,accuracy,0.1488255453109741,0.6
ImageNet-Occluded,natural_silhouette,accuracy,0.1971672320365906,0.7
ImageNet-Occluded,natural_silhouette,accuracy,0.2381109964847564,0.8
ImageNet-Occluded,natural_silhouette,accuracy,0.254379791021347,0.9
ImageNet-Occluded,coarse_noise,accuracy,0.0025667010620236,0.1
ImageNet-Occluded,coarse_noise,accuracy,0.0135491597652435,0.2
ImageNet-Occluded,coarse_noise,accuracy,0.0397077682614326,0.3
ImageNet-Occluded,coarse_noise,accuracy,0.0831552183628082,0.4
ImageNet-Occluded,coarse_noise,accuracy,0.1337595814466476,0.5
ImageNet-Occluded,coarse_noise,accuracy,0.1779823851585388,0.6
ImageNet-Occluded,coarse_noise,accuracy,0.2189298349618911,0.7
ImageNet-Occluded,coarse_noise,accuracy,0.2622328269481659,0.8
ImageNet-Occluded,coarse_noise,accuracy,0.3073102152347565,0.9
ImageNet-Occluded,fine_oriented_noise,accuracy,0.0027229510620236,0.1
ImageNet-Occluded,fine_oriented_noise,accuracy,0.0059503979980945,0.2
ImageNet-Occluded,fine_oriented_noise,accuracy,0.0097685731202363,0.3
ImageNet-Occluded,fine_oriented_noise,accuracy,0.0209223909676074,0.4
ImageNet-Occluded,fine_oriented_noise,accuracy,0.038620651513338,0.5
ImageNet-Occluded,fine_oriented_noise,accuracy,0.0629377949237823,0.6
ImageNet-Occluded,fine_oriented_noise,accuracy,0.1092161703109741,0.7
ImageNet-Occluded,fine_oriented_noise,accuracy,0.1712732166051864,0.8
ImageNet-Occluded,fine_oriented_noise,accuracy,0.2364224648475646,0.9
ImageNet-Occluded,fine_noise,accuracy,0.0031802771240472,0.1
ImageNet-Occluded,fine_noise,accuracy,0.0075615418702363,0.2
ImageNet-Occluded,fine_noise,accuracy,0.0167036409676075,0.3
ImageNet-Occluded,fine_noise,accuracy,0.0309802477061748,0.4
ImageNet-Occluded,fine_noise,accuracy,0.0459153892099857,0.5
ImageNet-Occluded,fine_noise,accuracy,0.0732237619161605,0.6
ImageNet-Occluded,fine_noise,accuracy,0.1072365123033523,0.7
ImageNet-Occluded,fine_noise,accuracy,0.1543901091814041,0.8
ImageNet-Occluded,fine_noise,accuracy,0.2101098173856735,0.9
ImageNet-Occluded,pink_noise,accuracy,0.0018016656860709,0.1
ImageNet-Occluded,pink_noise,accuracy,0.0034146521240472,0.2
ImageNet-Occluded,pink_noise,accuracy,0.0086309699341654,0.3
ImageNet-Occluded,pink_noise,accuracy,0.0159728773683309,0.4
ImageNet-Occluded,pink_noise,accuracy,0.0295043484866619,0.5
ImageNet-Occluded,pink_noise,accuracy,0.0522674676775932,0.6
ImageNet-Occluded,pink_noise,accuracy,0.0867699736356735,0.7
ImageNet-Occluded,pink_noise,accuracy,0.1410506337881088,0.8
ImageNet-Occluded,pink_noise,accuracy,0.2095389890670776,0.9
ImageNet-Occluded,patch_drop,accuracy,0.0032274469360709,0.1
ImageNet-Occluded,patch_drop,accuracy,0.0181294222176074,0.2
ImageNet-Occluded,patch_drop,accuracy,0.0418105100095272,0.3
ImageNet-Occluded,patch_drop,accuracy,0.0760767984390258,0.4
ImageNet-Occluded,patch_drop,accuracy,0.1139777415990829,0.5
ImageNet-Occluded,patch_drop,accuracy,0.1525353777408599,0.6
ImageNet-Occluded,patch_drop,accuracy,0.2002133697271347,0.7
ImageNet-Occluded,patch_drop,accuracy,0.2513730835914611,0.8
ImageNet-Occluded,patch_drop,accuracy,0.3036003839969635,0.9
ImageNet-Occluded,polkadot,accuracy,0.0115882959961891,0.1
ImageNet-Occluded,polkadot,accuracy,0.0390484964847564,0.2
ImageNet-Occluded,polkadot,accuracy,0.0562271520495414,0.3
ImageNet-Occluded,polkadot,accuracy,0.12546875,0.4
ImageNet-Occluded,polkadot,accuracy,0.1995566773414611,0.5
ImageNet-Occluded,polkadot,accuracy,0.2244925558567047,0.6
ImageNet-Occluded,polkadot,accuracy,0.2666852152347564,0.7
ImageNet-Occluded,polkadot,accuracy,0.2822564125061035,0.8
ImageNet-Occluded,polkadot,accuracy,0.2969693398475647,0.9
ImageNet-Occluded,polkasquare,accuracy,0.0032079156860709,0.1
ImageNet-Occluded,polkasquare,accuracy,0.022019089013338,0.2
ImageNet-Occluded,polkasquare,accuracy,0.0746565449237823,0.3
ImageNet-Occluded,polkasquare,accuracy,0.1492456513643264,0.4
ImageNet-Occluded,polkasquare,accuracy,0.2085786408185959,0.5
ImageNet-Occluded,polkasquare,accuracy,0.2425854957103729,0.6
ImageNet-Occluded,polkasquare,accuracy,0.2700733345746994,0.7
ImageNet-Occluded,polkasquare,accuracy,0.2858958578109741,0.8
ImageNet-Occluded,polkasquare,accuracy,0.2968694722652435,0.9
ImageNet-Occluded,empty_rectangles,accuracy,0.0027229510620236,0.1
ImageNet-Occluded,empty_rectangles,accuracy,0.00700324293226,0.2
ImageNet-Occluded,empty_rectangles,accuracy,0.0188082252442836,0.3
ImageNet-Occluded,empty_rectangles,accuracy,0.0395478332042694,0.4
ImageNet-Occluded,empty_rectangles,accuracy,0.0683380013704299,0.5
ImageNet-Occluded,empty_rectangles,accuracy,0.1100574883818626,0.6
ImageNet-Occluded,empty_rectangles,accuracy,0.1484710347652435,0.7
ImageNet-Occluded,empty_rectangles,accuracy,0.2072862619161606,0.8
ImageNet-Occluded,empty_rectangles,accuracy,0.2815798199176788,0.9
ImageNet-Occluded,filled_rectangles,accuracy,0.0022232458740472,0.1
ImageNet-Occluded,filled_rectangles,accuracy,0.0073175854980945,0.2
ImageNet-Occluded,filled_rectangles,accuracy,0.0231765919923782,0.3
ImageNet-Occluded,filled_rectangles,accuracy,0.0545559404790401,0.4
ImageNet-Occluded,filled_rectangles,accuracy,0.1075364828109741,0.5
ImageNet-Occluded,filled_rectangles,accuracy,0.1491262531280517,0.6
ImageNet-Occluded,filled_rectangles,accuracy,0.1963800853490829,0.7
ImageNet-Occluded,filled_rectangles,accuracy,0.2569796580076218,0.8
ImageNet-Occluded,filled_rectangles,accuracy,0.3184146523475647,0.9
ImageNet-Occluded,straight_lines,accuracy,0.0027586969360709,0.1
ImageNet-Occluded,straight_lines,accuracy,0.0104440595582127,0.2
ImageNet-Occluded,straight_lines,accuracy,0.024616745263338,0.3
ImageNet-Occluded,straight_lines,accuracy,0.0511235997080802,0.4
ImageNet-Occluded,straight_lines,accuracy,0.0850202682614326,0.5
ImageNet-Occluded,straight_lines,accuracy,0.1233416864275932,0.6
ImageNet-Occluded,straight_lines,accuracy,0.1737680572271347,0.7
ImageNet-Occluded,straight_lines,accuracy,0.2332783019542694,0.8
ImageNet-Occluded,straight_lines,accuracy,0.2966089332103729,0.9
ImageNet-Occluded,empty_triangles,accuracy,0.0026348761841654,0.1
ImageNet-Occluded,empty_triangles,accuracy,0.0090459168702363,0.2
ImageNet-Occluded,empty_triangles,accuracy,0.0242622347176075,0.3
ImageNet-Occluded,empty_triangles,accuracy,0.0503615124523639,0.4
ImageNet-Occluded,empty_triangles,accuracy,0.0769641804695129,0.5
ImageNet-Occluded,empty_triangles,accuracy,0.1203629866242408,0.6
ImageNet-Occluded,empty_triangles,accuracy,0.178502727150917,0.7
ImageNet-Occluded,empty_triangles,accuracy,0.2258586382865905,0.8
ImageNet-Occluded,empty_triangles,accuracy,0.2867489683628082,0.9
ImageNet-Occluded,filled_triangles,accuracy,0.0019888708740472,0.1
ImageNet-Occluded,filled_triangles,accuracy,0.0096775501221418,0.2
ImageNet-Occluded,filled_triangles,accuracy,0.0345448850095272,0.3
ImageNet-Occluded,filled_triangles,accuracy,0.0593735259771347,0.4
ImageNet-Occluded,filled_triangles,accuracy,0.1046340656280517,0.5
ImageNet-Occluded,filled_triangles,accuracy,0.1483881193399429,0.6
ImageNet-Occluded,filled_triangles,accuracy,0.1870316183567047,0.7
ImageNet-Occluded,filled_triangles,accuracy,0.2391763710975647,0.8
ImageNet-Occluded,filled_triangles,accuracy,0.3067950320243835,0.9
