subject,metric_sim,value
sub-00,Pearson R,0.45799640922766177
sub-01,Pearson R,0.2619887845327361
sub-02,Pearson R,0.6218641877245508
sub-03,Pearson R,0.3780515169699761
sub-04,Pearson R,0.49227780062215226
sub-05,Pearson R,0.6621677192062386
sub-06,Pearson R,0.37532596008520364
sub-07,Pearson R,0.2051958718070455
sub-08,Pearson R,0.6099480950271422
sub-09,Pearson R,0.514623611440172
sub-10,Pearson R,0.6405228264639323
sub-11,Pearson R,0.4625175280596696
sub-12,Pearson R,0.30935616928607595
sub-13,Pearson R,0.6003608326035885
sub-14,Pearson R,0.36565028386501136
sub-15,Pearson R,0.3662689972206512
sub-16,Pearson R,0.6719454630871989
sub-17,Pearson R,0.41440234320563224
sub-18,Pearson R,0.534743927490362
sub-19,Pearson R,0.027498001435833
sub-20,Pearson R,0.4621269992167557
sub-21,Pearson R,0.608369582169853
sub-22,Pearson R,0.43819201425582893
sub-23,Pearson R,0.5569887560982725
sub-24,Pearson R,0.37425888202770574
sub-25,Pearson R,0.739389689802312
sub-26,Pearson R,0.44985196993147
sub-27,Pearson R,0.5384904426009144
sub-28,Pearson R,0.48425214913389764
sub-29,Pearson R,0.1483603407359745
sub-00,MSE,0.006919094332144271
sub-01,MSE,0.00579774408772625
sub-02,MSE,0.006462792310741181
sub-03,MSE,0.0068111292773153686
sub-04,MSE,0.005524920729290527
sub-05,MSE,0.00966904478795085
sub-06,MSE,0.007249925683709867
sub-07,MSE,0.009682793301625046
sub-08,MSE,0.017215451182454745
sub-09,MSE,0.022795159532302822
sub-10,MSE,0.023265251354207952
sub-11,MSE,0.026780329303738935
sub-12,MSE,0.013107700819130666
sub-13,MSE,0.0048067363588320785
sub-14,MSE,0.010852985863390141
sub-15,MSE,0.011864100277447484
sub-16,MSE,0.004487093737613951
sub-17,MSE,0.006522410490157218
sub-18,MSE,0.00603526720834985
sub-19,MSE,0.06256110450521865
sub-20,MSE,0.009751370722684633
sub-21,MSE,0.007091549412075572
sub-22,MSE,0.012393686418285109
sub-23,MSE,0.017325645725987583
sub-24,MSE,0.006172339476813317
sub-25,MSE,0.004729571277579603
sub-26,MSE,0.012956880036992998
sub-27,MSE,0.006741230677764565
sub-28,MSE,0.007445955542343768
sub-29,MSE,0.01531737184568635
