benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.5692535166240409,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.021885980224731,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0760421430578037,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1447121227274135,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2252482583328169,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.301578443877551,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3740091481987311,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4285029902750132,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4693467671773871,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5290580927109232,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0137489621470473,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0730011492055289,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1418546340903457,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2196746696623004,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2833885100423073,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3393052682584646,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3978253152905678,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4873216091370096,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.5168429771248175,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0062669967776354,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0299019150587977,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0742849321389684,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1558739652439039,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2555995349373136,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3680335788094268,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4280724306495822,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4464402283940996,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4125993482920588,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.003914522767371,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0214700856797245,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0601441416965455,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1001602660636512,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1363393308556809,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1903499681122449,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2276454805111398,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2167649120092392,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2335755499650021,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0133951133763303,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.0658489663381965,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.1357820471938775,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.218257018498012,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.2858293524810246,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.35068671496547,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.4050481927638151,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.4423418245753463,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.5016771153527864,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0037708774551141,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0322186657968832,0.2
