subject,metric_sim,value
sub-00,Pearson R,-0.13445306337491952
sub-01,Pearson R,0.1995427736877284
sub-02,Pearson R,0.14360917718492358
sub-03,Pearson R,0.3134828172450171
sub-04,Pearson R,0.24380268647477704
sub-05,Pearson R,0.19061033644865633
sub-06,Pearson R,0.4697350505193191
sub-07,Pearson R,0.3967519316953218
sub-08,Pearson R,-0.15714890746427423
sub-09,Pearson R,0.19463620076884525
sub-10,Pearson R,-0.2561867880287171
sub-11,Pearson R,0.37712825439395936
sub-12,Pearson R,0.2776281731852083
sub-13,Pearson R,0.23975496629274623
sub-14,Pearson R,0.06321560334778968
sub-15,Pearson R,0.3418730937440663
sub-16,Pearson R,-0.00990138004157013
sub-17,Pearson R,-0.0012919921125386707
sub-18,Pearson R,-0.14824893235904907
sub-19,Pearson R,0.1387539826122224
sub-20,Pearson R,-0.42557117423864155
sub-21,Pearson R,0.3519151459996314
sub-22,Pearson R,0.45696895768257095
sub-23,Pearson R,0.3287148663293123
sub-24,Pearson R,0.43896496089795545
sub-25,Pearson R,0.31004079696570885
sub-26,Pearson R,0.156748975851209
sub-27,Pearson R,0.2237954881499364
sub-28,Pearson R,0.171338096608122
sub-29,Pearson R,0.4880425374170397
sub-00,MSE,0.04596247853084952
sub-01,MSE,0.03058713997886115
sub-02,MSE,0.03633319295811864
sub-03,MSE,0.028766679878451575
sub-04,MSE,0.03196351895891135
sub-05,MSE,0.033961677566389216
sub-06,MSE,0.024084093010965788
sub-07,MSE,0.027807875875280757
sub-08,MSE,0.06472395626899194
sub-09,MSE,0.04299308858501784
sub-10,MSE,0.05784090533756111
sub-11,MSE,0.03974526027216277
sub-12,MSE,0.032436253137798916
sub-13,MSE,0.03310675122209011
sub-14,MSE,0.03918755780155899
sub-15,MSE,0.030381779297133045
sub-16,MSE,0.04050229554762849
sub-17,MSE,0.041280098097502986
sub-18,MSE,0.04378509380367288
sub-19,MSE,0.07485710628880962
sub-20,MSE,0.04703172479852027
sub-21,MSE,0.02850554069229753
sub-22,MSE,0.027070286695732595
sub-23,MSE,0.03529387964063946
sub-24,MSE,0.026825992535341524
sub-25,MSE,0.03249128847932355
sub-26,MSE,0.0434133472057075
sub-27,MSE,0.03511407550535076
sub-28,MSE,0.033381391200951245
sub-29,MSE,0.03639632051790197
