benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.5675351662404092,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0189081602634824,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0762482101515847,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1422622556589087,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2182904855937374,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2913939162176482,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3616981433362377,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4173652140461669,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4607227839985672,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5229791135204082,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0077019457572272,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0628534727254692,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1335822435057893,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2164670922318283,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2781405680033625,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3278425980587395,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3851845276599027,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4788773704548271,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.5144367303167071,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0058161309939257,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0257091265247792,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0749967660830945,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.170163665499006,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.267954159756096,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3739719208405942,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4409471117720312,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4698491497915618,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4853955592427935,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0036039179837217,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0140719760817532,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0358191994684083,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0647885481617888,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1118936813911613,0.5
