benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.4697290601023018,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0047594309472443,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0247882033252845,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0621003836317135,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1174432544795143,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1819293478413311,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.245044757033248,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.30959478904829,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3605938299232736,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4070532289154999,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0036484974429316,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0222146739168545,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0593710038382226,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1196970908004609,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1843670076878784,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2508351981944745,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3078804347673645,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3525935102759115,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3836277173760602,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0027973145780051,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0105898337595907,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0425191815856777,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0969269501278772,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1531130115089514,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2042559143679831,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2589394181890561,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.302961157334735,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3531329923730982,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0031170076726342,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0048753196930946,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0108895460358056,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0224224744255051,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0485813618944886,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0892623081860487,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1417519181509457,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2193973785090019,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2926950127724796,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0028772378516624,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.0256713555025322,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.0807145140741182,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.1521499360842473,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.2127038043783144,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.2737971547314578,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.326954124071409,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.3583999360766252,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.4050351662556534,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.001738331202046,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0079923273657289,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.0312300191815856,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.0847706202122256,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.1483735613848852,0.5
ImageNet-Occluded,oblique_bars_04,accuracy,0.2202165920639891,0.6
ImageNet-Occluded,oblique_bars_04,accuracy,0.280694533263326,0.7
ImageNet-Occluded,oblique_bars_04,accuracy,0.3409726662404092,0.8
ImageNet-Occluded,oblique_bars_04,accuracy,0.3781210038515613,0.9
ImageNet-Occluded,oblique_bars_08,accuracy,0.0012188299232736,0.1
ImageNet-Occluded,oblique_bars_08,accuracy,0.0048953005115089,0.2
ImageNet-Occluded,oblique_bars_08,accuracy,0.0208519821048087,0.3
ImageNet-Occluded,oblique_bars_08,accuracy,0.0598385549910233,0.4
ImageNet-Occluded,oblique_bars_08,accuracy,0.1130514705882353,0.5
ImageNet-Occluded,oblique_bars_08,accuracy,0.1835158248158062,0.6
ImageNet-Occluded,oblique_bars_08,accuracy,0.2404171994808689,0.7
ImageNet-Occluded,oblique_bars_08,accuracy,0.2874880115241955,0.8
ImageNet-Occluded,oblique_bars_08,accuracy,0.3169277494063462,0.9
ImageNet-Occluded,oblique_bars_16,accuracy,0.0016384271099744,0.1
ImageNet-Occluded,oblique_bars_16,accuracy,0.0032888427114738,0.2
ImageNet-Occluded,oblique_bars_16,accuracy,0.0068654092076375,0.3
ImageNet-Occluded,oblique_bars_16,accuracy,0.0176950127882001,0.4
ImageNet-Occluded,oblique_bars_16,accuracy,0.0350903133001855,0.5
ImageNet-Occluded,oblique_bars_16,accuracy,0.0793198529449875,0.6
ImageNet-Occluded,oblique_bars_16,accuracy,0.1290601022979792,0.7
ImageNet-Occluded,oblique_bars_16,accuracy,0.1872442455395408,0.8
ImageNet-Occluded,oblique_bars_16,accuracy,0.2692615089514066,0.9
ImageNet-Occluded,vertical_bars_02,accuracy,0.0024376598465473,0.1
ImageNet-Occluded,vertical_bars_02,accuracy,0.0159367007677398,0.2
ImageNet-Occluded,vertical_bars_02,accuracy,0.0515465153490795,0.3
ImageNet-Occluded,vertical_bars_02,accuracy,0.1059982416879795,0.4
ImageNet-Occluded,vertical_bars_02,accuracy,0.172997922010129,0.5
ImageNet-Occluded,vertical_bars_02,accuracy,0.2414042519410248,0.6
ImageNet-Occluded,vertical_bars_02,accuracy,0.3053628516471599,0.7
ImageNet-Occluded,vertical_bars_02,accuracy,0.3563099425009754,0.8
ImageNet-Occluded,vertical_bars_02,accuracy,0.3924832161125319,0.9
ImageNet-Occluded,vertical_bars_04,accuracy,0.0013586956521739,0.1
ImageNet-Occluded,vertical_bars_04,accuracy,0.0068334398976982,0.2
ImageNet-Occluded,vertical_bars_04,accuracy,0.0343430306943481,0.3
ImageNet-Occluded,vertical_bars_04,accuracy,0.0948569373515865,0.4
ImageNet-Occluded,vertical_bars_04,accuracy,0.1622482417032237,0.5
ImageNet-Occluded,vertical_bars_04,accuracy,0.2293678068977487,0.6
ImageNet-Occluded,vertical_bars_04,accuracy,0.2843030690384643,0.7
ImageNet-Occluded,vertical_bars_04,accuracy,0.3252078005115089,0.8
ImageNet-Occluded,vertical_bars_04,accuracy,0.3490648976982097,0.9
ImageNet-Occluded,vertical_bars_08,accuracy,0.0021579283887468,0.1
ImageNet-Occluded,vertical_bars_08,accuracy,0.0045156649616368,0.2
ImageNet-Occluded,vertical_bars_08,accuracy,0.0167519181604732,0.3
ImageNet-Occluded,vertical_bars_08,accuracy,0.048481457802417,0.4
ImageNet-Occluded,vertical_bars_08,accuracy,0.0992447250639386,0.5
ImageNet-Occluded,vertical_bars_08,accuracy,0.1547554347978528,0.6
ImageNet-Occluded,vertical_bars_08,accuracy,0.2049192775164723,0.7
ImageNet-Occluded,vertical_bars_08,accuracy,0.2470668158720216,0.8
ImageNet-Occluded,vertical_bars_08,accuracy,0.3072730179333016,0.9
ImageNet-Occluded,vertical_bars_16,accuracy,0.0020780051150895,0.1
ImageNet-Occluded,vertical_bars_16,accuracy,0.0028892263431873,0.2
ImageNet-Occluded,vertical_bars_16,accuracy,0.0048353580562659,0.3
ImageNet-Occluded,vertical_bars_16,accuracy,0.0102101982097186,0.4
ImageNet-Occluded,vertical_bars_16,accuracy,0.0220388427109974,0.5
ImageNet-Occluded,vertical_bars_16,accuracy,0.0463355179028132,0.6
ImageNet-Occluded,vertical_bars_16,accuracy,0.0815097506412917,0.7
ImageNet-Occluded,vertical_bars_16,accuracy,0.1509031329847052,0.8
ImageNet-Occluded,vertical_bars_16,accuracy,0.2319892903270624,0.9
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0060342071611253,0.1
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0226702365733664,0.2
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.0433224104821224,0.3
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.071167679031944,0.4
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1007392902851409,0.5
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1230218989769821,0.6
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1590193414398471,0.7
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1873161764934544,0.8
ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2311460997366234,0.9
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0024376598465473,0.1
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.011920556266461,0.2
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0345628196969056,0.3
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.0663443094648211,0.4
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1003956202122256,0.5
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1370484335038363,0.6
ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1664442135702313,0.7
