subject,metric_sim,value
sub-00,Pearson R,0.06959035353940601
sub-01,Pearson R,0.26878937772898853
sub-02,Pearson R,0.36100108054474167
sub-03,Pearson R,0.4932861204053043
sub-04,Pearson R,0.43143388142529515
sub-05,Pearson R,0.3704760018262756
sub-06,Pearson R,0.4780098885775823
sub-07,Pearson R,0.5448335817533182
sub-08,Pearson R,0.05134170044834057
sub-09,Pearson R,0.5261228145508854
sub-10,Pearson R,-0.1447305388231354
sub-11,Pearson R,0.5847297339519207
sub-12,Pearson R,0.4528782547179976
sub-13,Pearson R,0.466446168868456
sub-14,Pearson R,0.26725391268680826
sub-15,Pearson R,0.46403119228280626
sub-16,Pearson R,0.2454970526691418
sub-17,Pearson R,0.07828558446351526
sub-18,Pearson R,0.125811691003635
sub-19,Pearson R,0.11346031086352078
sub-20,Pearson R,-0.24836369522176077
sub-21,Pearson R,0.551195726233128
sub-22,Pearson R,0.5707252262151772
sub-23,Pearson R,0.5302375317741446
sub-24,Pearson R,0.5531219876782182
sub-25,Pearson R,0.4852726329143308
sub-26,Pearson R,0.25473093847846906
sub-27,Pearson R,0.32283633092421915
sub-28,Pearson R,0.4251305378696399
sub-29,Pearson R,0.6968814984958513
sub-00,MSE,0.02095884528999868
sub-01,MSE,0.011173578081648832
sub-02,MSE,0.0140111804729819
sub-03,MSE,0.009303202206368082
sub-04,MSE,0.011700852160126831
sub-05,MSE,0.011859434865900385
sub-06,MSE,0.009071252807504294
sub-07,MSE,0.010776522658211125
sub-08,MSE,0.03963597403884265
sub-09,MSE,0.017146873761395162
sub-10,MSE,0.02994083597569032
sub-11,MSE,0.018325571409697452
sub-12,MSE,0.011245830030387104
sub-13,MSE,0.012599666402430968
sub-14,MSE,0.01495214856652134
sub-15,MSE,0.010781477077553179
sub-16,MSE,0.015645313119302416
sub-17,MSE,0.020437144933280485
sub-18,MSE,0.016303094860615673
sub-19,MSE,0.052140474303078346
sub-20,MSE,0.019152340137402565
sub-21,MSE,0.00919036530585282
sub-22,MSE,0.009384867551856255
sub-23,MSE,0.013890292641035806
sub-24,MSE,0.010416336372043864
sub-25,MSE,0.014116255449861273
sub-26,MSE,0.024602903289734444
sub-27,MSE,0.01688986325802616
sub-28,MSE,0.010474261791518034
sub-29,MSE,0.020634413396749894
