subject,metric_sim,value
sub-00,Pearson R,0.38863868847869143
sub-01,Pearson R,0.3500264424828252
sub-02,Pearson R,0.5782097244729013
sub-03,Pearson R,0.5885935074453146
sub-04,Pearson R,0.5979163696410829
sub-05,Pearson R,0.5091154608352868
sub-06,Pearson R,0.4763501440101882
sub-07,Pearson R,0.5864427006486025
sub-08,Pearson R,0.2457104581621337
sub-09,Pearson R,0.7259668504760869
sub-10,Pearson R,0.04291511964434245
sub-11,Pearson R,0.657449040934077
sub-12,Pearson R,0.6514237473871022
sub-13,Pearson R,0.5448717630800036
sub-14,Pearson R,0.5110702748583583
sub-15,Pearson R,0.5758356755386436
sub-16,Pearson R,0.5008518238937402
sub-17,Pearson R,0.1866027458127248
sub-18,Pearson R,0.36954111986588195
sub-19,Pearson R,0.14704199217055539
sub-20,Pearson R,0.08359803609295477
sub-21,Pearson R,0.6759259693497469
sub-22,Pearson R,0.5891413496901018
sub-23,Pearson R,0.608786708459892
sub-24,Pearson R,0.6667804563134526
sub-25,Pearson R,0.5907823903476503
sub-26,Pearson R,0.3648176368551207
sub-27,Pearson R,0.40098528655383425
sub-28,Pearson R,0.6645399576248998
sub-29,Pearson R,0.7384022793154028
sub-00,MSE,0.012724352622539304
sub-01,MSE,0.008788644470868018
sub-02,MSE,0.008210133439027613
sub-03,MSE,0.006693874686220107
sub-04,MSE,0.007086388558594261
sub-05,MSE,0.010144338750165145
sub-06,MSE,0.008238043334654511
sub-07,MSE,0.008282509248249439
sub-08,MSE,0.030448952966045717
sub-09,MSE,0.01610879904875149
sub-10,MSE,0.02853068437045844
sub-11,MSE,0.019430984938565203
sub-12,MSE,0.00827705938697318
sub-13,MSE,0.008995780486193683
sub-14,MSE,0.009539693156295414
sub-15,MSE,0.009314101928920598
sub-16,MSE,0.009165221627691905
sub-17,MSE,0.015625289007794956
sub-18,MSE,0.010511667657550535
sub-19,MSE,0.056004219513806325
sub-20,MSE,0.014872919143876333
sub-21,MSE,0.005998687078874356
sub-22,MSE,0.009760866693090234
sub-23,MSE,0.014119310675122211
sub-24,MSE,0.0065376040428061855
sub-25,MSE,0.009838403355793366
sub-26,MSE,0.01902554828907386
sub-27,MSE,0.012731164949134626
sub-28,MSE,0.005704353283128549
sub-29,MSE,0.015964831880036987
