benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.4621363491048593,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0019581202046035,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.017327365729853,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0619325447646553,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1245124680383126,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1917039641867513,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2609135230331469,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3139426151047582,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3562020460510497,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3944093670381609,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0028972186700767,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0182344948853868,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0612771739168545,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1312779731610242,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2027693414474692,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2612571931251174,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3143981777493606,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3591871803526378,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.393042679028133,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0028492647063587,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.008276054988165,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0412244245533824,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1079004155972119,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1785685741687979,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2500919118104383,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2986572890178017,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3457001279229703,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3748441496316124,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0025175831202046,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0050151854219948,0.2
