subject,metric_sim,value
sub-00,Pearson R,0.06953588081314352
sub-01,Pearson R,0.17723908802981267
sub-02,Pearson R,0.29260891256812066
sub-03,Pearson R,0.400095896143671
sub-04,Pearson R,0.3674443384589753
sub-05,Pearson R,0.4564396741114916
sub-06,Pearson R,0.456493547142469
sub-07,Pearson R,0.2904967958265395
sub-08,Pearson R,-0.10058079560840327
sub-09,Pearson R,0.32923620254595226
sub-10,Pearson R,-0.10117837531810296
sub-11,Pearson R,0.3967545322934896
sub-12,Pearson R,0.12526382434584152
sub-13,Pearson R,0.28573572623415533
sub-14,Pearson R,0.12023971292962388
sub-15,Pearson R,0.3190247187453381
sub-16,Pearson R,0.29347034335109573
sub-17,Pearson R,-0.07904710186334098
sub-18,Pearson R,-0.0007482374084475912
sub-19,Pearson R,0.23511638206124155
sub-20,Pearson R,-0.11784712774177036
sub-21,Pearson R,0.4321086908662365
sub-22,Pearson R,0.48022234806315967
sub-23,Pearson R,0.4627655411782506
sub-24,Pearson R,0.5935434353520244
sub-25,Pearson R,0.4256327419678985
sub-26,Pearson R,0.03926500234274006
sub-27,Pearson R,0.1908462269133205
sub-28,Pearson R,0.23593783850711023
sub-29,Pearson R,0.5562101576011234
sub-00,MSE,0.018283169837495044
sub-01,MSE,0.009437714691504824
sub-02,MSE,0.0132974550799313
sub-03,MSE,0.009064646915048222
sub-04,MSE,0.0107837891399128
sub-05,MSE,0.008463923569824285
sub-06,MSE,0.007397113224996697
sub-07,MSE,0.013647484806447351
sub-08,MSE,0.03982292079534945
sub-09,MSE,0.01764087065662571
sub-10,MSE,0.025102432619896944
sub-11,MSE,0.01947743261989695
sub-12,MSE,0.014042599748976085
sub-13,MSE,0.013448358435724663
sub-14,MSE,0.01495871317214956
sub-15,MSE,0.01027154346677236
sub-16,MSE,0.012700282401902498
sub-17,MSE,0.01981978299643282
sub-18,MSE,0.015521659069890344
sub-19,MSE,0.0469447334522394
sub-20,MSE,0.013680596842383406
sub-21,MSE,0.009847445171092616
sub-22,MSE,0.008777166732725595
sub-23,MSE,0.01233865107676047
sub-24,MSE,0.008427715021799448
sub-25,MSE,0.013454757894041484
sub-26,MSE,0.0269360632183908
sub-27,MSE,0.016955633174791918
sub-28,MSE,0.01125404610912934
sub-29,MSE,0.02191228200554895
