benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.4413363171355499,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0061540920716112,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0319693094629156,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0670955882352941,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1145100703324808,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1704763427109974,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2345947890025575,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3018102621483376,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3543198529411764,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3975583439897698,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0028972186700767,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0211197250639386,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0672354539641943,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1352701406649616,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1941935741687979,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2539961636828644,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3055666560102302,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3470867966751918,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3722226662404092,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0030370843989769,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0134470907928388,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0484734654731457,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1074768222506393,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.170016783887468,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2228061061381074,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2699808184143222,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.305746483375959,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3480458759590792,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0030970268542199,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0058543797953964,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0108296035805626,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0184223145780051,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0310302109974424,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0656969309462915,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1104739450127877,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1855618606138107,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2419477301790281,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0082121163682864,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.0578244884910485,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.1226222826086956,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.1885390025575447,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.2400095907928388,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.2888626918158568,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.3347586317135549,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.367806905370844,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.4060701726342711,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0024176790281329,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0210797634271099,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.0715712915601023,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.1365489130434782,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.1957520780051151,0.5
ImageNet-Occluded,oblique_bars_04,accuracy,0.2609295076726343,0.6
ImageNet-Occluded,oblique_bars_04,accuracy,0.3128196930946291,0.7
ImageNet-Occluded,oblique_bars_04,accuracy,0.3608535805626598,0.8
ImageNet-Occluded,oblique_bars_04,accuracy,0.4017143542199488,0.9
