subject,metric_sim,value
sub-00,Pearson R,0.37889117791123184
sub-01,Pearson R,0.44235811066891095
sub-02,Pearson R,0.6404187192819629
sub-03,Pearson R,0.7120108362574136
sub-04,Pearson R,0.6806591386184201
sub-05,Pearson R,0.47175220461234274
sub-06,Pearson R,0.5746887566704091
sub-07,Pearson R,0.6008187830151479
sub-08,Pearson R,0.4265269483120543
sub-09,Pearson R,0.6312755752056798
sub-10,Pearson R,0.1842424247291263
sub-11,Pearson R,0.6569725556416669
sub-12,Pearson R,0.7625989985952955
sub-13,Pearson R,0.6718822444761541
sub-14,Pearson R,0.5802867438794123
sub-15,Pearson R,0.6594227077950198
sub-16,Pearson R,0.4750025130169221
sub-17,Pearson R,0.3055744154144001
sub-18,Pearson R,0.4739780107695006
sub-19,Pearson R,0.1753423009250634
sub-20,Pearson R,0.08149566899505811
sub-21,Pearson R,0.6940934347576506
sub-22,Pearson R,0.5735766574960074
sub-23,Pearson R,0.5917051899255327
sub-24,Pearson R,0.6963962043872656
sub-25,Pearson R,0.6677279052773596
sub-26,Pearson R,0.5531723910013575
sub-27,Pearson R,0.5831932633495419
sub-28,Pearson R,0.7203324536613503
sub-29,Pearson R,0.648410779179027
sub-00,MSE,0.02002584555423438
sub-01,MSE,0.014423801030519224
sub-02,MSE,0.011400862068965517
sub-03,MSE,0.0091932966706302
sub-04,MSE,0.010780032038578413
sub-05,MSE,0.01636580955212049
sub-06,MSE,0.012054845422116527
sub-07,MSE,0.013043210794028271
sub-08,MSE,0.03398917459373761
sub-09,MSE,0.0211007894041485
sub-10,MSE,0.03250602787686616
sub-11,MSE,0.022459993063812928
sub-12,MSE,0.009567355330955214
sub-13,MSE,0.01229042806183115
sub-14,MSE,0.012613125908310215
sub-15,MSE,0.012623406328444973
sub-16,MSE,0.01597044688862466
sub-17,MSE,0.021845273483947682
sub-18,MSE,0.014706409367155497
sub-19,MSE,0.06131366428854538
sub-20,MSE,0.022944824283260667
sub-21,MSE,0.009268562557801556
sub-22,MSE,0.014613101136213499
sub-23,MSE,0.018892645990223278
sub-24,MSE,0.011280923834059983
sub-25,MSE,0.013784763509050071
sub-26,MSE,0.019575282401902497
sub-27,MSE,0.015159491015986262
sub-28,MSE,0.008741329766151405
sub-29,MSE,0.02350983452239397
