benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.545196611253197,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0236972506393861,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0921715153452685,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1632033248081841,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2390505115089514,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3067854859335038,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3689458120204603,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4201966112531969,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4671115728900256,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5028372762148338,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0067535166240409,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0696731138107416,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1459199168797953,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2334359015345268,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3017503196930946,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3641903772378516,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4234135230179028,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4600183823529412,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4859734654731458,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0050751278772378,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0289122442455242,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1015824808184143,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2001278772378516,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2695212595907928,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3342790920716113,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3949408567774936,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.42423273657289,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4383791560102302,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0015385230179028,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0057145140664961,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0192615089514066,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0440976662404092,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0859774616368286,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1546515345268542,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2287603900255754,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2921994884910486,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.3129795396419437,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0281729539641943,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.1256593670076726,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.2117966751918158,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.290181425831202,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.3409526854219948,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.3887268222506393,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.4282488810741688,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.4586596867007673,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.5051950127877238,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0041160485933503,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0440377237851662,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.1195851982097186,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.1860613810741688,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.2510190217391304,0.5
ImageNet-Occluded,oblique_bars_04,accuracy,0.3320012787723785,0.6
ImageNet-Occluded,oblique_bars_04,accuracy,0.4084678708439898,0.7
ImageNet-Occluded,oblique_bars_04,accuracy,0.462056425831202,0.8
ImageNet-Occluded,oblique_bars_04,accuracy,0.4973425511508951,0.9
ImageNet-Occluded,oblique_bars_08,accuracy,0.0025575447570332,0.1
ImageNet-Occluded,oblique_bars_08,accuracy,0.017303388746803,0.2
ImageNet-Occluded,oblique_bars_08,accuracy,0.0778452685421994,0.3
ImageNet-Occluded,oblique_bars_08,accuracy,0.1726342710997442,0.4
ImageNet-Occluded,oblique_bars_08,accuracy,0.2587316176470588,0.5
ImageNet-Occluded,oblique_bars_08,accuracy,0.3515824808184143,0.6
ImageNet-Occluded,oblique_bars_08,accuracy,0.4006353900255754,0.7
ImageNet-Occluded,oblique_bars_08,accuracy,0.4484694693094629,0.8
ImageNet-Occluded,oblique_bars_08,accuracy,0.473525415601023,0.9
ImageNet-Occluded,oblique_bars_16,accuracy,0.0027173913043478,0.1
ImageNet-Occluded,oblique_bars_16,accuracy,0.0126678388746803,0.2
ImageNet-Occluded,oblique_bars_16,accuracy,0.0351462595907928,0.3
ImageNet-Occluded,oblique_bars_16,accuracy,0.0860573849104859,0.4
ImageNet-Occluded,oblique_bars_16,accuracy,0.1541120524296675,0.5
ImageNet-Occluded,oblique_bars_16,accuracy,0.2512787723785166,0.6
ImageNet-Occluded,oblique_bars_16,accuracy,0.3194133631713555,0.7
ImageNet-Occluded,oblique_bars_16,accuracy,0.3707041240409207,0.8
ImageNet-Occluded,oblique_bars_16,accuracy,0.3698849104859335,0.9
ImageNet-Occluded,vertical_bars_02,accuracy,0.0308104219948849,0.1
ImageNet-Occluded,vertical_bars_02,accuracy,0.1230218989769821,0.2
ImageNet-Occluded,vertical_bars_02,accuracy,0.2105179028132992,0.3
ImageNet-Occluded,vertical_bars_02,accuracy,0.2844868925831202,0.4
ImageNet-Occluded,vertical_bars_02,accuracy,0.35392023657289,0.5
ImageNet-Occluded,vertical_bars_02,accuracy,0.4033328005115089,0.6
ImageNet-Occluded,vertical_bars_02,accuracy,0.446371483375959,0.7
ImageNet-Occluded,vertical_bars_02,accuracy,0.4859734654731458,0.8
ImageNet-Occluded,vertical_bars_02,accuracy,0.512647858056266,0.9
ImageNet-Occluded,vertical_bars_04,accuracy,0.0107496803069053,0.1
ImageNet-Occluded,vertical_bars_04,accuracy,0.0880954283887468,0.2
ImageNet-Occluded,vertical_bars_04,accuracy,0.1815457161125319,0.3
ImageNet-Occluded,vertical_bars_04,accuracy,0.2752957161125319,0.4
ImageNet-Occluded,vertical_bars_04,accuracy,0.3430506713554987,0.5
ImageNet-Occluded,vertical_bars_04,accuracy,0.4028532608695652,0.6
ImageNet-Occluded,vertical_bars_04,accuracy,0.4499480498721228,0.7
ImageNet-Occluded,vertical_bars_04,accuracy,0.4817974744245524,0.8
ImageNet-Occluded,vertical_bars_04,accuracy,0.5070931905370843,0.9
ImageNet-Occluded,vertical_bars_08,accuracy,0.0067135549872122,0.1
ImageNet-Occluded,vertical_bars_08,accuracy,0.0382632672634271,0.2
ImageNet-Occluded,vertical_bars_08,accuracy,0.1243406329923273,0.3
ImageNet-Occluded,vertical_bars_08,accuracy,0.2295995843989769,0.4
ImageNet-Occluded,vertical_bars_08,accuracy,0.307604699488491,0.5
ImageNet-Occluded,vertical_bars_08,accuracy,0.3716032608695652,0.6
ImageNet-Occluded,vertical_bars_08,accuracy,0.4270700127877238,0.7
ImageNet-Occluded,vertical_bars_08,accuracy,0.4607776534526854,0.8
