subject,metric_sim,value
sub-00,Pearson R,0.3302020686691908
sub-01,Pearson R,0.261731013029756
sub-02,Pearson R,0.4992855933925719
sub-03,Pearson R,0.3913533140632489
sub-04,Pearson R,0.4155079405727767
sub-05,Pearson R,0.5209704377409637
sub-06,Pearson R,0.2316689532406447
sub-07,Pearson R,0.4021949923311198
sub-08,Pearson R,0.13900226788516115
sub-09,Pearson R,0.7202171206228462
sub-10,Pearson R,-0.05827055134010723
sub-11,Pearson R,0.5930944281019543
sub-12,Pearson R,0.396649559601943
sub-13,Pearson R,0.37766900056218655
sub-14,Pearson R,0.4071930287505631
sub-15,Pearson R,0.49720973102201704
sub-16,Pearson R,0.44308041051695396
sub-17,Pearson R,0.047535368043427936
sub-18,Pearson R,0.3399561481477208
sub-19,Pearson R,0.21601416796551098
sub-20,Pearson R,0.11439400019727725
sub-21,Pearson R,0.556401362493086
sub-22,Pearson R,0.5100234297932473
sub-23,Pearson R,0.525700443772467
sub-24,Pearson R,0.6493698709114002
sub-25,Pearson R,0.4062039295557703
sub-26,Pearson R,0.16245322096884612
sub-27,Pearson R,0.1870803024266948
sub-28,Pearson R,0.49567278701195305
sub-29,Pearson R,0.5725859164897622
sub-00,MSE,0.01413570154577884
sub-01,MSE,0.008634892323952967
sub-02,MSE,0.0096965831021271
sub-03,MSE,0.009109649557405208
sub-04,MSE,0.00987209340731933
sub-05,MSE,0.007920836636279564
sub-06,MSE,0.010571409697450126
sub-07,MSE,0.011619104240982956
sub-08,MSE,0.03506857742105959
sub-09,MSE,0.01296575670498084
sub-10,MSE,0.025287397608666932
sub-11,MSE,0.017058767670762323
sub-12,MSE,0.010384834522393978
sub-13,MSE,0.012049147839873164
sub-14,MSE,0.010359649557405204
sub-15,MSE,0.008270907649623467
sub-16,MSE,0.010298792773153653
sub-17,MSE,0.01776894239661779
sub-18,MSE,0.010368154643942397
sub-19,MSE,0.048248241181133585
sub-20,MSE,0.011653826463205178
sub-21,MSE,0.007793838353811601
sub-22,MSE,0.008725847205707495
sub-23,MSE,0.012150713436385257
sub-24,MSE,0.007412802219579866
sub-25,MSE,0.013402034614876468
sub-26,MSE,0.024009570286695734
sub-27,MSE,0.016962817082837884
sub-28,MSE,0.007469943189324876
sub-29,MSE,0.020903603514334786
