benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.6154891304347826,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0056146099744245,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0442734974462662,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1281609654883899,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2338075448027657,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3345388427109974,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4211157289002558,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4847626279077262,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.533056266015143,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5657049233041456,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0064378196940473,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0522578324827239,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1391624041149378,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2449288683016891,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3448809143679831,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4085837595755487,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4727741368591328,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.5085917519181585,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.5400935101996908,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0050951086956521,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0313139386198785,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0877237851681459,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.176650415601023,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2682265025727889,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3270500319845536,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3949968030538096,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4462555946444002,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.5012268222811277,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0051750319693094,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0109135230188555,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0392982736611,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0777014066534274,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1765664961865491,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.245660166225165,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.3368845908233271,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.4241807864755011,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.5170636189258312,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.0158088235303645,0.1
ImageNet-Occluded,oblique_bars_02,accuracy,0.1152533567736825,0.2
ImageNet-Occluded,oblique_bars_02,accuracy,0.2320452366033783,0.3
ImageNet-Occluded,oblique_bars_02,accuracy,0.3397298593197942,0.4
ImageNet-Occluded,oblique_bars_02,accuracy,0.4156489770125855,0.5
ImageNet-Occluded,oblique_bars_02,accuracy,0.4743925831506929,0.6
ImageNet-Occluded,oblique_bars_02,accuracy,0.5230258951711533,0.7
ImageNet-Occluded,oblique_bars_02,accuracy,0.5541759910790817,0.8
ImageNet-Occluded,oblique_bars_02,accuracy,0.5829763427719741,0.9
ImageNet-Occluded,oblique_bars_04,accuracy,0.0111413043483024,0.1
ImageNet-Occluded,oblique_bars_04,accuracy,0.0952405690613305,0.2
ImageNet-Occluded,oblique_bars_04,accuracy,0.2105978260869565,0.3
ImageNet-Occluded,oblique_bars_04,accuracy,0.3175471547771902,0.4
ImageNet-Occluded,oblique_bars_04,accuracy,0.3951886189563195,0.5
ImageNet-Occluded,oblique_bars_04,accuracy,0.4637028452990305,0.6
ImageNet-Occluded,oblique_bars_04,accuracy,0.5081681585525308,0.7
ImageNet-Occluded,oblique_bars_04,accuracy,0.5455043158872658,0.8
ImageNet-Occluded,oblique_bars_04,accuracy,0.5654571611253197,0.9
ImageNet-Occluded,oblique_bars_08,accuracy,0.0062140345268542,0.1
ImageNet-Occluded,oblique_bars_08,accuracy,0.0443853900274809,0.2
ImageNet-Occluded,oblique_bars_08,accuracy,0.151322730171406,0.3
ImageNet-Occluded,oblique_bars_08,accuracy,0.2599384590716618,0.4
ImageNet-Occluded,oblique_bars_08,accuracy,0.3450167839179563,0.5
ImageNet-Occluded,oblique_bars_08,accuracy,0.4252797314882888,0.6
ImageNet-Occluded,oblique_bars_08,accuracy,0.4720308503988759,0.7
ImageNet-Occluded,oblique_bars_08,accuracy,0.5052189898612859,0.8
ImageNet-Occluded,oblique_bars_08,accuracy,0.5285925511508951,0.9
ImageNet-Occluded,oblique_bars_16,accuracy,0.0036285166245173,0.1
ImageNet-Occluded,oblique_bars_16,accuracy,0.0112611892587884,0.2
ImageNet-Occluded,oblique_bars_16,accuracy,0.0368646099744245,0.3
ImageNet-Occluded,oblique_bars_16,accuracy,0.0836556905408954,0.4
ImageNet-Occluded,oblique_bars_16,accuracy,0.1501118925869312,0.5
ImageNet-Occluded,oblique_bars_16,accuracy,0.2443054667519181,0.6
ImageNet-Occluded,oblique_bars_16,accuracy,0.3270620204451139,0.7
ImageNet-Occluded,oblique_bars_16,accuracy,0.3713235294117647,0.8
ImageNet-Occluded,oblique_bars_16,accuracy,0.4482736573042467,0.9
ImageNet-Occluded,vertical_bars_02,accuracy,0.0061141304347826,0.1
ImageNet-Occluded,vertical_bars_02,accuracy,0.0582281010239706,0.2
ImageNet-Occluded,vertical_bars_02,accuracy,0.168194533270948,0.3
ImageNet-Occluded,vertical_bars_02,accuracy,0.2863850703324808,0.4
ImageNet-Occluded,vertical_bars_02,accuracy,0.3860493925831202,0.5
ImageNet-Occluded,vertical_bars_02,accuracy,0.4577965153300244,0.6
