subject,metric_sim,value
sub-00,Pearson R,0.42126117142958686
sub-01,Pearson R,0.38147645606093156
sub-02,Pearson R,0.6209167294593224
sub-03,Pearson R,0.5487689880995487
sub-04,Pearson R,0.5741060213464424
sub-05,Pearson R,0.5992962558551763
sub-06,Pearson R,0.39771063788166783
sub-07,Pearson R,0.43282195237424564
sub-08,Pearson R,0.27155861168521506
sub-09,Pearson R,0.7355674462591565
sub-10,Pearson R,0.07963797910586048
sub-11,Pearson R,0.6642527180529495
sub-12,Pearson R,0.5630700536822741
sub-13,Pearson R,0.5057843815419721
sub-14,Pearson R,0.559622434972431
sub-15,Pearson R,0.616054479404779
sub-16,Pearson R,0.5588289085182303
sub-17,Pearson R,0.15154184739109589
sub-18,Pearson R,0.4150645907011279
sub-19,Pearson R,0.20706938742808617
sub-20,Pearson R,0.20490441249687755
sub-21,Pearson R,0.6625619671599869
sub-22,Pearson R,0.5825564529060905
sub-23,Pearson R,0.6075833699581364
sub-24,Pearson R,0.746879707112624
sub-25,Pearson R,0.5430410239960006
sub-26,Pearson R,0.31734573409603944
sub-27,Pearson R,0.3596740899498383
sub-28,Pearson R,0.6508054852918487
sub-29,Pearson R,0.629870532067967
sub-00,MSE,0.013252246003435065
sub-01,MSE,0.00867725260932752
sub-02,MSE,0.008014681595983618
sub-03,MSE,0.007665725326991678
sub-04,MSE,0.00816868146386577
sub-05,MSE,0.008384322565728632
sub-06,MSE,0.00961305984938565
sub-07,MSE,0.011792632778438372
sub-08,MSE,0.03230731437442198
sub-09,MSE,0.014504764499933938
sub-10,MSE,0.02640899557405206
sub-11,MSE,0.017888426476416964
sub-12,MSE,0.00928767835909631
sub-13,MSE,0.010643290064737743
sub-14,MSE,0.008628947020742498
sub-15,MSE,0.008169548487250627
sub-16,MSE,0.008922000924824949
sub-17,MSE,0.01723939754260801
sub-18,MSE,0.0102612630466376
sub-19,MSE,0.052309461289470206
sub-20,MSE,0.012960471991015984
sub-21,MSE,0.006407839542872241
sub-22,MSE,0.009270007596776327
sub-23,MSE,0.013166410688333996
sub-24,MSE,0.006069948143744223
sub-25,MSE,0.011699778702602718
sub-26,MSE,0.02125970240454485
sub-27,MSE,0.014660209406790858
sub-28,MSE,0.005933495177698505
sub-29,MSE,0.01948395593869732
