benchmark,occluder_type,metric,score,visibility
ImageNet-1K,,accuracy,0.6127717391304348,
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0087236253201694,0.1
ImageNet-Occluded,horizontal_bars_02,accuracy,0.0614250319654984,0.2
ImageNet-Occluded,horizontal_bars_02,accuracy,0.1490489130511003,0.3
ImageNet-Occluded,horizontal_bars_02,accuracy,0.2540161445012788,0.4
ImageNet-Occluded,horizontal_bars_02,accuracy,0.3492007672481829,0.5
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4282049232584131,0.6
ImageNet-Occluded,horizontal_bars_02,accuracy,0.4901054987059834,0.7
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5357576726037828,0.8
ImageNet-Occluded,horizontal_bars_02,accuracy,0.5686540920716112,0.9
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0088435102306554,0.1
ImageNet-Occluded,horizontal_bars_04,accuracy,0.0666640025594502,0.2
ImageNet-Occluded,horizontal_bars_04,accuracy,0.1646659207313567,0.3
ImageNet-Occluded,horizontal_bars_04,accuracy,0.2681345908004609,0.4
ImageNet-Occluded,horizontal_bars_04,accuracy,0.3614649936518705,0.5
ImageNet-Occluded,horizontal_bars_04,accuracy,0.4240009591097722,0.6
ImageNet-Occluded,horizontal_bars_04,accuracy,0.485054347826087,0.7
ImageNet-Occluded,horizontal_bars_04,accuracy,0.5188618925831202,0.8
ImageNet-Occluded,horizontal_bars_04,accuracy,0.5543358376263963,0.9
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0066336317135549,0.1
ImageNet-Occluded,horizontal_bars_08,accuracy,0.0386588874718417,0.2
ImageNet-Occluded,horizontal_bars_08,accuracy,0.1052589514066496,0.3
ImageNet-Occluded,horizontal_bars_08,accuracy,0.2014945652192968,0.4
ImageNet-Occluded,horizontal_bars_08,accuracy,0.303512627892482,0.5
ImageNet-Occluded,horizontal_bars_08,accuracy,0.3675791240866531,0.6
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4326966112227086,0.7
ImageNet-Occluded,horizontal_bars_08,accuracy,0.4870724104859335,0.8
ImageNet-Occluded,horizontal_bars_08,accuracy,0.526966112501481,0.9
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0065457161130083,0.1
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0150175831206809,0.2
ImageNet-Occluded,horizontal_bars_16,accuracy,0.0577525575466625,0.3
ImageNet-Occluded,horizontal_bars_16,accuracy,0.1057304987288497,0.4
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2129795396571878,0.5
ImageNet-Occluded,horizontal_bars_16,accuracy,0.2885829603580562,0.6
ImageNet-Occluded,horizontal_bars_16,accuracy,0.3711476982249628,0.7
ImageNet-Occluded,horizontal_bars_16,accuracy,0.4333959399434307,0.8
ImageNet-Occluded,horizontal_bars_16,accuracy,0.5204164003167311,0.9
ImageNet-Occluded,oblique_bars_02,accuracy,0.028864290288952,0.1
